QPS,pruning_ratio,recall,gamma,nprobe,k_factor
102.37176029005084,0.0,0.71179,0.0,40,1.8
70.29913785714326,0.0,0.78689,0.0,60,1.8
57.25629040830209,0.0,0.835,0.0,80,1.8
48.08181836429783,0.0,0.86636,0.0,100,1.8
34.45519725386516,0.0,0.91346,0.0,150,1.8
26.877502766006586,0.0,0.93819,0.0,200,1.8
22.574866724019394,0.0,0.95326,0.0,250,1.8
19.302365152539164,0.0,0.9623,0.0,300,1.8
15.683145293125326,0.0,0.97248,0.0,400,1.8
13.474045845924916,0.0,0.97706,0.0,500,1.8
11.942654753977433,0.0,0.97928,0.0,600,1.8
10.718797675019536,0.0,0.98059,0.0,700,1.8
10.24476333973202,0.0,0.98125,0.0,800,1.8
