QPS,pruning_ratio,recall,gamma,nprobe,k_factor
67.70745422797724,0.0,0.7246,0.0,40,600.0
51.952838614902944,0.0,0.80132,0.0,60,600.0
43.15235053333993,0.0,0.85049,0.0,80,600.0
36.59940435601693,0.0,0.88233,0.0,100,600.0
32.0207316843582,0.0,0.90576,0.0,120,600.0
27.62597709848663,0.0,0.9302,0.0,150,600.0
23.726659190689706,0.0,0.95527,0.0,200,600.0
21.87602891452159,0.0,0.97981,0.0,300,600.0
20.23528710457276,0.0,0.99015,0.0,400,600.0
19.16838588090664,0.0,0.99483,0.0,500,600.0
18.72847748665724,0.0,0.99703,0.0,600,600.0
18.189143774595305,0.0,0.99834,0.0,700,600.0
17.669772021274145,0.0,0.99902,0.0,800,600.0




