QPS,pruning_ratio,recall,nprobe,k_factor,total_distance_computation,actual_distance_computation
593.8813703017554,0.0,0.854,40,100,3000.0,3000.0
469.3172603884213,0.0,0.878,50,100,3000.0,3000.0
352.07996689311545,0.0,0.901,60,100,3000.0,3000.0
301.92363387778164,0.0,0.931,80,100,3000.0,3000.0
276.211630999051,0.0,0.976,150,100,3000.0,3000.0
237.3160000724231,0.0,0.984,200,100,3000.0,3000.0
217.8311153920926,0.0,0.99,250,100,3000.0,3000.0
198.22121093637995,0.0,0.991,300,100,3000.0,3000.0
168.72414662838315,0.0,0.996,400,100,3000.0,3000.0
122.0269316475661,0.0,0.999,500,100,3000.0,3000.0

517.9706998519309,0.0,0.854,40,50,500.0,500.0
500.5351065200892,0.0,0.879,50,50,500.0,500.0
475.04969312020694,0.0,0.902,60,50,500.0,500.0
455.51979328165373,0.0,0.916,70,50,500.0,500.0
433.20989798133274,0.0,0.931,80,50,500.0,500.0
384.7995911915354,0.0,0.951,100,50,500.0,500.0
280.76541520682355,0.0,0.977,150,50,500.0,500.0
246.85885600509172,0.0,0.985,200,50,500.0,500.0
203.65513594718752,0.0,0.99,250,50,500.0,500.0
196.40033733082535,0.0,0.992,300,50,500.0,500.0
176.9438684787263,0.0,0.997,400,50,500.0,500.0
152.7721917942438,0.0,1.0,500,50,500.0,500.0
