QPS,pruning_ratio,recall,gamma,nprobe,k_factor
100.72967040609872,0.8318931884765625,0.72454,0.65,40,600.0
71.95496775813903,0.763070556640625,0.80126,0.65,60,600.0
58.66781975872041,0.700068115234375,0.85043,0.65,80,600.0
50.229308195558346,0.6420155639648437,0.88226,0.65,100,600.0
43.31145234335252,0.5874293823242187,0.90569,0.65,120,600.0
36.46886307386583,0.5113717346191406,0.93013,0.65,150,600.0
29.530322856036218,0.40143020629882814,0.9552,0.65,200,600.0
22.248568474162347,0.29448068237304686,0.97974,0.65,300,600.0
21.97060698805334,0.27324905395507815,0.99008,0.65,400,600.0
20.373777708691357,0.26643704223632814,0.99476,0.65,500,600.0
19.84629031345147,0.2636063537597656,0.99696,0.65,600,600.0
19.119664180921237,0.2630313415527344,0.99827,0.65,700,600.0
18.560550189356107,0.2625714721679687,0.99895,0.65,800,600.0

127.0621450322287,0.44862850952148436,0.72368,0.62,40,0.0
93.18949686073695,0.5210147094726563,0.80032,0.62,60,0.0
79.59634030635804,0.5725527954101562,0.84941,0.62,80,0.0
76.68335508765685,0.6121367797851562,0.88117,0.62,100,0.0
71.78453535333222,0.64406494140625,0.90456,0.62,120,0.0
67.34271670179345,0.6822196655273437,0.929,0.62,150,0.0
57.53914411966298,0.7293201293945313,0.95404,0.62,200,0.0
51.315775580935,0.7639133911132813,0.96941,0.62,250,0.0
46.53696797324769,0.7907293090820312,0.97854,0.62,300,0.0
41.25427268962671,0.8300211791992187,0.98885,0.62,400,0.0
37.28430229876888,0.8573925170898438,0.99349,0.62,500,0.0
34.108605704503745,0.877436767578125,0.99567,0.62,600,0.0
32.02231339971483,0.8927847900390625,0.99697,0.62,700,0.0
30.03964802902482,0.904841552734375,0.99764,0.62,800,0.0
