QPS,pruning_ratio,recall,nprobe,gamma,total_distance_computation,actual_distance_computation
1633.2577899270266,0.9755798950195312,0.8036,40,0.7,15763.2,423.918
1474.452411050631,0.97945703125,0.8318,50,0.7,19591.232,440.98
1288.006013944096,0.9821910400390625,0.8598,60,0.7,23314.816,451.332
1193.1235097704441,0.98442578125,0.8794,70,0.7,27093.376,456.148
1101.3030879413689,0.9861434326171875,0.8932,80,0.7,30859.904,460.53
1001.0463206934738,0.9874835205078125,0.9054,90,0.7,34610.112,464.702
939.4945733225279,0.9885780029296874,0.9168,100,0.7,38291.456,468.71
699.5646134693621,0.9921320190429688,0.9484,150,0.7,56847.936,477.92
550.230400479403,0.9939763793945312,0.967,200,0.7,74897.536,482.588
460.92589938872953,0.9950796508789063,0.9764,250,0.7,92685.184,485.55
395.5312172595276,0.9958467407226562,0.984,300,0.7,110289.92,486.404
347.521581812864,0.9964004516601562,0.989,350,0.7,127593.216,487.138
311.9300196976149,0.9968165283203125,0.991,400,0.7,144710.976,488.118
275.54061236006356,0.9971405029296875,0.993,450,0.7,161573.184,489.38
251.4793577032785,0.9974033203125,0.9938,500,0.7,178217.792,489.592

