QPS,pruning_ratio,recall,nprobe,gamma,total_distance_computation,actual_distance_computation
558.2802912324136,0.9696796875,0.8072,40,0.7,13409.92,411.612
575.8993828135191,0.9696621704101562,0.8426,50,0.7,13865.216,425.808
526.4714085491053,0.969649658203125,0.8638,60,0.7,14177.088,435.544
523.8882732475122,0.9696405029296875,0.8846,70,0.7,14393.024,442.268
484.06755311315743,0.9696338500976562,0.9034,80,0.7,14619.456,449.336
449.99717833380936,0.9696278076171875,0.9154,90,0.7,14753.92,453.536
479.0464901823146,0.9696229858398437,0.9256,100,0.7,14853.376,456.644
355.36631171585094,0.969602294921875,0.97,200,0.7,15280.64,469.984
279.37888331148554,0.9695950317382812,0.9846,300,0.7,15412.288,474.096
189.08739171541677,0.9695905151367188,0.991,500,0.7,15498.176,476.78
617.0685805685447,0.9696796875,0.8072,40,0.7,13409.92,411.612
700.7092454506484,0.9696621704101562,0.8426,50,0.7,13865.216,425.808
655.9991892099865,0.969649658203125,0.8638,60,0.7,14177.088,435.544
617.6914388045283,0.9696405029296875,0.8846,70,0.7,14393.024,442.268
556.2759533525996,0.9696338500976562,0.9034,80,0.7,14619.456,449.336
542.0134663913979,0.9696278076171875,0.9154,90,0.7,14753.92,453.536
509.28831327533646,0.9696229858398437,0.9256,100,0.7,14853.376,456.644
344.1125575079196,0.969602294921875,0.97,200,0.7,15280.64,469.984
259.49269822901954,0.9695950317382812,0.9846,300,0.7,15412.288,474.096
181.91765478730144,0.9695905151367188,0.991,500,0.7,15498.176,476.78
1033.0411275242898,,0.0,40,0.7,0.0,0.0
1021.1534350777057,,0.0,50,0.7,0.0,0.0
951.8110785139571,,0.0,60,0.7,0.0,0.0
858.838060354289,,0.0,70,0.7,0.0,0.0
783.8044913937254,,0.0,80,0.7,0.0,0.0
753.7961145471387,,0.0,90,0.7,0.0,0.0
631.4860768466166,,0.0,100,0.7,0.0,0.0
428.8778060880692,,0.0,200,0.7,0.0,0.0
308.03243961929536,,0.0,300,0.7,0.0,0.0
210.9151596176125,,0.0,500,0.7,0.0,0.0
703.9856057630658,0.9759274291992187,0.8066,40,0.7,15025.92,410.428
750.8704919259524,0.9799830932617187,0.842,50,0.7,18752.32,424.634
686.5463688028703,0.9828367919921875,0.8634,60,0.7,22449.728,434.36
638.0178765918868,0.9849834594726562,0.8842,70,0.7,26151.872,441.05
599.6075528492732,0.9865939331054687,0.903,80,0.7,29821.952,448.116
570.7270622858398,0.9879082641601562,0.9152,90,0.7,33488.064,452.314
529.5936010941616,0.988990966796875,0.9254,100,0.7,37138.304,455.424
361.5082472033839,0.9941478271484375,0.9698,200,0.7,73373.76,468.774
276.22421880114206,0.9959600830078125,0.9844,300,0.7,108658.048,472.89
187.70539138168007,0.99747412109375,0.9908,500,0.7,177450.56,475.58
666.1607557787719,0.9758859252929688,0.8102,40,0.7,15025.92,411.016
687.1438382376841,0.9799523315429688,0.8456,50,0.7,18752.32,425.182
645.4044349027394,0.9828118286132812,0.867,60,0.7,22449.728,434.898
614.2600518846634,0.9849625854492188,0.8878,70,0.7,26151.872,441.576
566.9406455896458,0.9865763549804687,0.9066,80,0.7,29821.952,448.63
559.4064159825527,0.987893310546875,0.9188,90,0.7,33488.064,452.824
533.1986830921655,0.9889764404296875,0.929,100,0.7,37138.304,455.926
361.91644771186844,0.9941409912109375,0.9734,200,0.7,73373.76,469.236
279.95830699041403,0.9959555053710938,0.988,300,0.7,108658.048,473.346
193.76155197574877,0.9974711303710937,0.9944,500,0.7,177450.56,476.03

679.3235632716339,0.97588134765625,0.8102,40,0.7,15025.92,411.08
714.7676934785669,0.9799486694335937,0.8456,50,0.7,18752.32,425.246
666.1300743076656,0.982808837890625,0.867,60,0.7,22449.728,434.962
632.746433403211,0.9849598999023438,0.8878,70,0.7,26151.872,441.64
591.4941576910103,0.9865740356445313,0.9066,80,0.7,29821.952,448.694
570.1298616563397,0.9878912353515625,0.9188,90,0.7,33488.064,452.888
549.5450924489539,0.9889745483398438,0.929,100,0.7,37138.304,455.99
378.2406716865444,0.994140380859375,0.9734,200,0.7,73373.76,469.3
293.44455713092754,0.9959550170898438,0.988,300,0.7,108658.048,473.41
201.4035378188166,0.997470947265625,0.9944,500,0.7,177450.56,476.094

718.4726590777426,0.97588134765625,0.8102,40,0.7,15025.92,411.08
823.6276420350337,0.9799486694335937,0.8456,50,0.7,18752.32,425.246
743.4065117973997,0.982808837890625,0.867,60,0.7,22449.728,434.962
715.188904292016,0.9849598999023438,0.8878,70,0.7,26151.872,441.64
681.4461859001229,0.9865740356445313,0.9066,80,0.7,29821.952,448.694
646.1646728523899,0.9878912353515625,0.9188,90,0.7,33488.064,452.888
607.0733831076199,0.9889745483398438,0.929,100,0.7,37138.304,455.99
386.033058748795,0.994140380859375,0.9734,200,0.7,73373.76,469.3
296.16206304786715,0.9959550170898438,0.988,300,0.7,108658.048,473.41
202.6261224789514,0.997470947265625,0.9944,500,0.7,177450.56,476.094
