QPS,pruning_ratio,recall,gamma,ef
996.1702239843019,0.8774923095703125,0.8977,0.67,10
837.5287942056952,0.90896484375,0.9288,0.67,30
765.7429185324288,0.9186014404296875,0.9412,0.67,50
705.6345902106269,0.9241909790039062,0.9499,0.67,70
663.0294900275358,0.9277825317382813,0.9551,0.67,90
567.4525553943184,0.933060546875,0.965,0.67,150
426.0469950424076,0.9364954833984375,0.9782,0.67,300
369.8132578407028,0.936661865234375,0.9815,0.67,400
290.95681713260433,0.9356942749023438,0.9871,0.67,600
241.488520857016,0.9343275146484376,0.9903,0.67,800
206.63583020396837,0.9328638916015625,0.9918,0.67,1000
