QPS,pruning_ratio,recall,gamma,nprobe,k_factor
80.6009249333092,0.46883132934570315,0.779997,0.65,100,1.0
64.13657108507527,0.5354497680664062,0.855437,0.65,150,1.0
56.287070414772096,0.5853258666992187,0.899648,0.65,200,1.0
50.13057206968333,0.6248851928710938,0.928387,0.65,250,1.0
45.61997186798276,0.6577049560546875,0.947695,0.65,300,1.0
39.44350656661394,0.7094561157226562,0.970274,0.65,400,1.0
35.43551018295353,0.7484419555664062,0.982604,0.65,500,1.0
32.520493132493755,0.77895068359375,0.989224,0.65,600,1.0
30.30318815490448,0.8035313110351563,0.993079,0.65,700,1.0
28.59010008454531,0.8236204223632813,0.99549,0.65,800,1.0
27.264120438719537,0.8402752075195312,0.996819,0.65,900,1.0
26.073486656163222,0.8542612915039063,0.997693,0.65,1000,1.0

