QPS,pruning_ratio,recall,gamma,ef
186.05789245932385,0.27653768920898436,0.8047,0.65,40,600.0
154.6406910765442,0.244095703125,0.8657,0.65,60,600.0
146.0662684646908,0.23116717529296876,0.9036,0.65,80,600.0
139.84625562116028,0.22551092529296876,0.9257,0.65,100,600.0
133.90479356866837,0.22305636596679687,0.9425,0.65,120,600.0
123.39456376607981,0.22055917358398439,0.9582,0.65,150,600.0
111.97217781153132,0.22041732788085938,0.9728,0.65,200,600.0
80.06717519445951,0.2198272247314453,0.9904,0.65,400,600.0
62.600634719055314,0.2200230712890625,0.9934,0.65,600,600.0
52.260128475590214,0.22102742004394532,0.9945,0.65,800,600.0

251.7358249812592,0.7421382446289062,0.8003,0.63,40,600.0
190.05940806540252,0.792276123046875,0.861,0.63,60,600.0
172.764992259709,0.8244365234375,0.8987,0.63,80,600.0
152.46934821206113,0.8472848510742188,0.9209,0.63,100,600.0
141.4593560976452,0.8646962280273438,0.9373,0.63,120,600.0
125.42299907476591,0.8843619384765625,0.9528,0.63,150,600.0
110.70938243370576,0.9068910522460938,0.9671,0.63,200,600.0
74.64823545358348,0.9479951171875,0.9845,0.63,400,600.0
57.92296400899721,0.9641624145507812,0.9875,0.63,600,600.0
48.500734037899015,0.9726482543945313,0.9885,0.63,800,600.0
