QPS,pruning_ratio,recall,gamma,nprobe,k_factor
100.72967040609872,0.8318931884765625,0.72454,0.65,40,600.0
71.95496775813903,0.763070556640625,0.80126,0.65,60,600.0
58.66781975872041,0.700068115234375,0.85043,0.65,80,600.0
50.229308195558346,0.6420155639648437,0.88226,0.65,100,600.0
43.31145234335252,0.5874293823242187,0.90569,0.65,120,600.0
36.46886307386583,0.5113717346191406,0.93013,0.65,150,600.0
29.530322856036218,0.40143020629882814,0.9552,0.65,200,600.0
22.248568474162347,0.29448068237304686,0.97974,0.65,300,600.0
21.97060698805334,0.27324905395507815,0.99008,0.65,400,600.0
20.373777708691357,0.26643704223632814,0.99476,0.65,500,600.0
19.84629031345147,0.2636063537597656,0.99696,0.65,600,600.0
19.119664180921237,0.2630313415527344,0.99827,0.65,700,600.0
18.560550189356107,0.2625714721679687,0.99895,0.65,800,600.0




