QPS,pruning_ratio,recall,gamma,nprobe,k_factor
26.745469919014223,0.0,0.70821,0.0,40,6000.0
27.643140557251122,0.0,0.74811,0.0,60,6000.0
26.859169987441078,0.0,0.77639,0.0,80,6000.0
25.75269695741229,0.0,0.79719,0.0,100,6000.0
21.247664205463092,0.0,0.8583,0.0,200,6000.0
18.24987356003803,0.0,0.89205,0.0,300,6000.0
16.128505323082305,0.0,0.91386,0.0,400,6000.0
14.275457006147873,0.0,0.93014,0.0,500,6000.0
12.761578139371471,0.0,0.94215,0.0,600,6000.0
11.693360887481726,0.0,0.95229,0.0,700,6000.0
10.771988401479359,0.0,0.95998,0.0,800,6000.0
9.991930397684287,0.0,0.96648,0.0,900,6000.0
9.300300209847816,0.0,0.9719,0.0,1000,6000.0
8.72045004107525,0.0,0.97616,0.0,1100,6000.0
8.350270904246099,0.0,0.97998,0.0,1200,6000.0
