QPS,pruning_ratio,recall,nprobe,k_factor,total_distance_computation,actual_distance_computation
1378.1865378612385,0.0,0.87,100,100,3000.0,3000.0
1196.3911198500766,0.0,0.905,200,100,3000.0,3000.0
705.077512560139,0.0,0.957,400,100,3000.0,3000.0
593.1284669716157,0.0,0.973,600,100,3000.0,3000.0
475.6638568167309,0.0,0.981,800,100,3000.0,3000.0
373.61243859313134,0.0,0.985,1000,100,3000.0,3000.0
267.6002008451062,0.0,0.991,1200,100,3000.0,3000.0
272.8881168246036,0.0,0.993,1400,100,3000.0,3000.0
224.41229801548087,0.0,0.995,1600,100,3000.0,3000.0


1662.7699724081062,0.0,0.87,100,100,1000.0,1000.0
1217.7416217377545,0.0,0.905,200,100,1000.0,1000.0
937.2306550977496,0.0,0.957,400,100,1000.0,1000.0
699.1030993991216,0.0,0.973,600,100,1000.0,1000.0
572.3800906953354,0.0,0.981,800,100,1000.0,1000.0
530.1059123884634,0.0,0.985,1000,100,1000.0,1000.0
475.1298752789515,0.0,0.991,1200,100,1000.0,1000.0
416.24074715455464,0.0,0.993,1400,100,1000.0,1000.0
415.7019690396831,0.0,0.995,1600,100,1000.0,1000.0

