QPS,pruning_ratio,recall,nprobe,gamma,total_distance_computation,actual_distance_computation
3892.127040805911,0.9653235473632813,0.8238,60,0.6,17962.496,577.954
2727.708097857402,0.9758643798828125,0.8622,100,0.6,29103.808,656.91
2162.7035444317257,0.9855460205078125,0.9048,200,0.6,56256.448,770.316
1425.5081530845366,0.99150439453125,0.9472,400,0.6,109515.2,894.724
1091.189685180512,0.9938651733398437,0.966,600,0.6,162945.984,969.912
850.3469464133733,0.9951735229492188,0.9754,800,0.6,217129.664,1023.542
679.8620145474091,0.9960144653320312,0.982,1000,0.6,272319.296,1065.16
644.3360148509148,0.99660791015625,0.986,1200,0.6,328529.088,1098.046
554.5208950910345,0.9970526733398437,0.9876,1400,0.6,385958.592,1124.352
470.1436692580608,0.9973994750976563,0.9902,1600,0.6,444584.256,1145.904

3735.5021543931275,0.9653235473632813,0.8238,60,0.6,17962.496,577.954
2635.348049330341,0.9758643798828125,0.8622,100,0.6,29103.808,656.91
2142.754092598685,0.9855460205078125,0.9048,200,0.6,56256.448,770.316
1414.6079216349174,0.99150439453125,0.9472,400,0.6,109515.2,894.724
1084.7210756839402,0.9938651733398437,0.966,600,0.6,162945.984,969.912
846.1799178171512,0.9951735229492188,0.9754,800,0.6,217129.664,1023.542
675.9858056493104,0.9960144653320312,0.982,1000,0.6,272319.296,1065.16
625.6461110424949,0.99660791015625,0.986,1200,0.6,328529.088,1098.046
528.5097357693254,0.9970526733398437,0.9876,1400,0.6,385958.592,1124.352
498.31388695629033,0.9973994750976563,0.9902,1600,0.6,444584.256,1145.904
