QPS,pruning_ratio,recall,nprobe,gamma,total_distance_computation,actual_distance_computation
2892.9027630253954,0.9653535766601562,0.8232,60,0.6,17962.56,577.526
2277.992730938265,0.9758762817382812,0.8624,100,0.6,29106.048,656.62
1565.732869645201,0.9855436401367188,0.9046,200,0.6,56235.456,770.008
1017.7740850888704,0.9915076904296874,0.9464,400,0.6,109476.736,893.978
767.6625545826353,0.9938673706054687,0.9654,600,0.6,162864.128,969.126
619.2768657943873,0.9951749267578125,0.9756,800,0.6,217038.592,1022.806
515.9324735902067,0.9960157470703125,0.9822,1000,0.6,272201.088,1064.306
441.1547108100734,0.996609130859375,0.986,1200,0.6,328390.08,1097.184
385.3547864412722,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.488
341.4178542572144,0.9974002075195313,0.9902,1600,0.6,444412.032,1145.062

2955.658470723203,0.9653535766601562,0.8232,60,0.6,17962.56,577.526
2323.492719807309,0.9758762817382812,0.8624,100,0.6,29106.048,656.62
1603.7539039438627,0.9855436401367188,0.9046,200,0.6,56235.456,770.008
1038.5719556373235,0.9915076904296874,0.9464,400,0.6,109476.736,893.978
783.1710714512449,0.9938673706054687,0.9654,600,0.6,162864.128,969.126
626.8073578323422,0.9951749267578125,0.9756,800,0.6,217038.592,1022.806
525.916368556142,0.9960157470703125,0.9822,1000,0.6,272201.088,1064.306
449.9149256878941,0.996609130859375,0.986,1200,0.6,328390.08,1097.184
392.6056944479806,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.488
348.0778515875067,0.9974002075195313,0.9902,1600,0.6,444412.032,1145.062

2952.0679165710635,0.9653535766601562,0.8232,60,0.6,17962.56,577.526
2319.727537495119,0.9758762817382812,0.8624,100,0.6,29106.048,656.62
1593.0358160203577,0.9855436401367188,0.9046,200,0.6,56235.456,770.008
1036.3732234801332,0.9915076904296874,0.9464,400,0.6,109476.736,893.978
779.7002628555707,0.9938673706054687,0.9654,600,0.6,162864.128,969.126
624.4833943230028,0.9951749267578125,0.9756,800,0.6,217038.592,1022.806
522.4034296276184,0.9960157470703125,0.9822,1000,0.6,272201.088,1064.306
447.4493183559979,0.996609130859375,0.986,1200,0.6,328390.08,1097.184
390.53735311217275,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.488
346.0506959702124,0.9974002075195313,0.9902,1600,0.6,444412.032,1145.062

=============================
baseline + 批量过滤lowerbound > distance_k的批次

2926.6778682713616,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2305.517780443107,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1615.9845271256902,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1075.1119122173486,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
817.8645804896693,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
660.7931653038468,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
556.588057287524,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
476.74474908380483,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
418.55503400188843,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
368.19315589593936,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

2936.023956891036,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2329.3303299700997,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1641.1039752216739,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1084.532593608496,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
827.2824852494429,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
664.8796217594223,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
557.6723586607792,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
483.0475720153993,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
423.10882348965436,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
374.5041349617219,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

2979.6497708947536,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2368.5231741557172,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1643.8710081991628,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1089.524696181277,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
824.5431037295978,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
669.057915415132,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
559.7602894207369,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
481.5003169589937,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
424.5236651247001,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
377.3924986215465,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

2916.6729251677975,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2313.4809794239773,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1639.1657977711461,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1085.6470468865102,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
815.0002020836378,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
659.0053291661154,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
554.5357045398296,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
474.0931506304281,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
411.0159177259473,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
370.49825134673506,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

=============================
baseline 
+ 批量过滤lowerbound > distance_k的批次
+ LIKELY Hints

3014.8647793859723,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2403.9515026187073,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1678.7933416693218,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1112.3362247382195,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
844.7701360557371,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
680.9638137963595,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
569.3044700327849,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
489.4661541298193,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
428.77389776088705,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
381.83910389931975,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

3019.292123054951,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2402.7809285496596,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1688.9837436023404,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1109.8755357129626,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
847.7499670545471,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
681.1761503636899,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
572.3024594396045,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
490.8508705593445,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
429.0678649415992,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
380.46589815827576,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

=============================
baseline 
+ 批量过滤lowerbound > distance_k的批次
+ LIKELY Hints
+ Aligned Load & Store

3007.462900607472,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2400.753715632616,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1692.8229348370949,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1120.8764543747625,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
860.8821658011946,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
696.6111344737396,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
584.096405407611,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
497.6849951136904,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
437.6717716324516,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
389.1313129288925,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

3016.100523644543,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2395.6992490135735,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1686.9973864295441,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
