QPS,pruning_ratio,recall,gamma,ef
1091.8646102711136,0.841720947265625,0.86558,0.75,100
869.6055295770922,0.8540149536132812,0.88697,0.75,160
812.8414209779281,0.8606383056640625,0.89423,0.75,200
664.0281613658294,0.8747874145507813,0.91452,0.75,400
569.34154050809866,0.8814860229492188,0.93586,0.75,800
500.0292174907376,0.8924609375,0.94261,0.75,1000
372.624182178519,0.9031455078125,0.96509,0.65,100
292.23047942251526,0.914903564453125,0.97547,0.65,400
200.1092553603113,0.9275113525390625,0.98666,0.6,100
166.66605737696972,0.935885986328125,0.99081,0.6,600
150.4616819198667,0.93878515625,0.99246,0.6,1000
121.31177753645727,0.9410198974609375,0.99449,0.6,2000





