QPS,pruning_ratio,recall,gamma,nprobe,k_factor
211.963057627992,0.0,0.7483,0.0,20,8000.0
180.83848564221057,0.0,0.7722,0.0,40,8000.0
157.7675812623764,0.0,0.7908,0.0,60,8000.0
140.42101154053853,0.0,0.8013,0.0,80,8000.0
126.98426538599269,0.0,0.8125,0.0,100,8000.0
102.49640317217305,0.0,0.8305,0.0,150,8000.0
87.46669536133754,0.0,0.8467,0.0,200,8000.0
55.51930795499471,0.0,0.8815,0.0,400,8000.0
41.09202780249287,0.0,0.9027,0.0,600,8000.0
33.06607881741694,0.0,0.9209,0.0,800,8000.0
30.10795402890276,0.0,0.9358,0.0,1000,8000.0
25.226041487250882,0.0,0.9679,0.0,2000,8000.0
22.28861191713121,0.0,0.9798,0.0,3000,8000.0
