QPS,pruning_ratio,recall,nprobe,gamma,total_distance_computation,actual_distance_computation
4421.144059399679,0.9841409301757813,0.8034,150,0.77,21665.92,345.548
3629.1068925536883,0.9871307373046875,0.8194,200,0.77,28667.648,370.852
2286.220117496874,0.9921712646484375,0.8642,400,0.77,55483.008,435.644
1698.105660346803,0.9940613403320312,0.8942,600,0.77,80407.104,477.914
1367.0243139299914,0.9950813598632813,0.908,800,0.77,103397.952,508.904
1100.5523354211,0.995685546875,0.9284,1000,0.77,124669.76,537.672
991.0223755404862,0.9961114501953126,0.9446,1200,0.77,144577.344,561.634
835.2837807373703,0.9965866088867188,0.9586,1500,0.77,172712.512,588.084
753.5404311433617,0.9968314819335937,0.9628,1700,0.77,190553.344,602.344
659.3772559317642,0.9971351318359375,0.973,2000,0.77,216120.384,617.97
461.4348108298404,0.9977918090820312,0.9798,3000,0.77,291910.4,644.078
