QPS,pruning_ratio,recall,gamma,ef
2726.459824359549,0.7816271362304688,0.9202,0.76,10
1827.2052625273636,0.8868825073242188,0.935,0.76,50
1591.5463670293743,0.9103222045898437,0.9423,0.76,90
1280.4630580822227,0.9243980712890625,0.9474,0.76,150
831.1553252110335,0.9359642333984375,0.9556,0.76,300
692.8735831935655,0.9387160034179688,0.9587,0.76,400
515.9996269915416,0.9414129638671875,0.9632,0.76,600
411.95081502696297,0.9425791015625,0.9675,0.76,800
342.86514923730294,0.943130126953125,0.9691,0.76,1000
128.9663740709421,0.9421862182617188,0.9792,0.76,3000
81.15003672285728,0.9386263427734375,0.9821,0.76,5000
