QPS,pruning_ratio,recall,gamma,nprobe,k_factor
173.68317507597675,0.0,0.5392,0.0,5,4000.0
109.84296292199235,0.0,0.6135,0.0,8,4000.0
101.17495067596202,0.0,0.6529,0.0,10,4000.0
70.05409975849288,0.0,0.7201,0.0,15,4000.0
59.41095516968021,0.0,0.7688,0.0,20,4000.0
46.915618945538604,0.0,0.8291,0.0,30,4000.0
43.7995308568565,0.0,0.865,0.0,40,4000.0
42.17542193556857,0.0,0.891,0.0,50,4000.0
41.212951330786574,0.0,0.91,0.0,60,4000.0
39.58600457363593,0.0,0.9232,0.0,70,4000.0
38.631907335016294,0.0,0.9331,0.0,80,4000.0
37.103699792564306,0.0,0.9394,0.0,90,4000.0
36.65880680386736,0.0,0.9462,0.0,100,4000.0
30.66241619199779,0.0,0.98,0.0,200,4000.0
27.07145729692257,0.0,0.9897,0.0,300,4000.0

