QPS,pruning_ratio,recall,nprobe,gamma,total_distance_computation,actual_distance_computation
1150.1604733250117,0.992207275390625,0.8428,50,0.62,79605.632,542.516
1025.2324816258608,0.9933591918945313,0.8644,60,0.62,95011.328,553.97
910.1605967651495,0.9942068481445312,0.8808,70,0.62,110438.464,563.642
816.9323744325322,0.9948594970703125,0.893,80,0.62,125736.128,571.716
738.0060711291976,0.99537646484375,0.9004,90,0.62,141088.704,577.86
439.57571546399964,0.9948220825195313,0.9474,150,0.57,231998.208,1073.714
284.62681438139344,0.9967346801757813,0.9702,250,0.57,380041.024,1116.514
232.93430073848262,0.991532958984375,0.9804,250,0.49,380041.024,2898.138
202.45003746550537,0.9927777709960938,0.9844,300,0.49,452954.816,2951.39
158.89856497794563,0.994420654296875,0.9892,400,0.49,596815.104,3015.296
137.29105302330368,0.9954425659179688,0.991,500,0.49,738497.472,3053.968
115.49731676827895,0.9961487426757812,0.9918,600,0.49,878157.056,3076.072
101.34593301717499,0.9966615600585937,0.9926,700,0.49,1015369.984,3090.038
