QPS,pruning_ratio,recall,gamma,ef
1591.355551508529,0.8855352172851563,0.8437,0.64,10
1036.5291985224721,0.9277853393554687,0.9004,0.64,50
857.0856988839281,0.936038818359375,0.9225,0.64,90
763.6269029890896,0.941166015625,0.9373,0.64,150
511.1088039361056,0.9442222290039063,0.956,0.64,300
304.98885315269376,0.9447444458007812,0.9721,0.64,600
263.0132588204014,0.9438043212890626,0.9771,0.64,800
220.0201864643467,0.9427792358398438,0.9814,0.64,1000
111.4976472617934,0.93809423828125,0.9898,0.64,2000
75.82185822976494,0.9343236083984375,0.9923,0.64,3000
