data_size,QPS,pruning_ratio,recall,gamma,ef
2.0,1104.8810126235492,0.9283356323242188,0.9924,0.7,500
4.0,993.7834983714173,0.9320670166015625,0.9916,0.7,500
6.0,794.7314299941432,0.933902587890625,0.991,0.7,500
8.0,680.5299311682671,0.9327921142578125,0.9919,0.7,700
10.0,577.6831049717639,0.9325504760742187,0.9906,0.7,800

2.0,3260.1553785944416,0.9308070068359375,0.9674,0.7,100
2.0,2005.8056068580763,0.9329404907226563,0.9831,0.7,200
2.0,1534.5959720690116,0.9318599853515624,0.9889,0.7,300
2.0,1330.2594325335547,0.930168212890625,0.9912,0.7,400
2.0,1104.8810126235492,0.9283356323242188,0.9924,0.7,500

4.0,3229.2045522786802,0.9324240112304687,0.9601,0.7,100
4.0,1969.753282097161,0.9354954833984375,0.98,0.7,200
4.0,1447.7205059544149,0.9349171142578125,0.9862,0.7,300
4.0,1129.7052151751993,0.9335436401367188,0.9891,0.7,400
4.0,993.7834983714173,0.9320670166015625,0.9916,0.7,500

6.0,2941.2968397726518,0.9333592529296875,0.955,0.7,100
6.0,1633.5624854678392,0.9367716674804687,0.9777,0.7,200
6.0,1157.0337394060052,0.936421630859375,0.9854,0.7,300
6.0,836.0180043779134,0.93523828125,0.9891,0.7,400
6.0,794.7314299941432,0.933902587890625,0.991,0.7,500

8.0,3197.89689093019,0.9338798828125,0.9485,0.7,100
8.0,1993.9084190174842,0.9375490112304687,0.9722,0.7,200
8.0,1212.0591432744263,0.9374844970703125,0.982,0.7,300
8.0,905.9396520312075,0.9364644165039062,0.9866,0.7,400
8.0,819.5446249174702,0.9352777099609375,0.9892,0.7,500
8.0,711.8966035793889,0.933997802734375,0.9907,0.7,600
8.0,680.5299311682671,0.9327921142578125,0.9919,0.7,700
8.0,599.9834065258128,0.931645263671875,0.9927,0.7,800

10.0,2949.8069823917585,0.9342626342773438,0.947,0.7,100
10.0,1869.4260021251257,0.9380079345703125,0.9705,0.7,200
10.0,1371.545021446414,0.9379331665039062,0.9799,0.7,300
10.0,1043.8811445523756,0.9370780029296875,0.9839,0.7,400
10.0,841.8121935505884,0.9359553833007812,0.9859,0.7,500
10.0,691.5032543965555,0.9347846069335938,0.9878,0.7,600
10.0,655.112899603181,0.9336310424804688,0.9895,0.7,700
10.0,577.6831049717639,0.9325504760742187,0.9906,0.7,800

