data_size,QPS,pruning_ratio,recall,gamma,nprobe,k_factor
2.0,219.43239037258635,0.28015451049804685,0.991,0.5,300,300.0
4.0,120.30204581546585,0.20380467224121093,0.9904,0.48,300,300.0
6.0,77.84386272819623,0.159124267578125,0.9891,0.46,300,300.0
8.0,56.45649301343657,0.13078797912597656,0.9903,0.45,300,300.0
10.0,45.07558538586929,0.11961833190917968,0.99,0.44,300,300.0


2.0,285.83299935184533,0.2799186096191406,0.9896,0.5,200,300.0
2.0,219.43239037258635,0.28015451049804685,0.991,0.5,300,300.0
2.0,196.89820025837142,0.28010394287109375,0.9913,0.5,350,300.0
2.0,179.03481022789214,0.2800769348144531,0.9917,0.5,400,300.0
2.0,165.00559046731792,0.2800646057128906,0.9919,0.5,450,300.0

4.0,120.30204581546585,0.20380467224121093,0.9904,0.48,300,300.0
4.0,117.28293205987953,0.2264231414794922,0.9906,0.48,300,350.0
4.0,115.23885161405398,0.2471544494628906,0.9907,0.48,300,400.0

6.0,77.84386272819623,0.159124267578125,0.9891,0.46,300,300.0
6.0,60.74833453145935,0.14037831115722657,0.9907,0.45,400,300.0

8.0,56.45649301343657,0.13078797912597656,0.9903,0.45,300,300.0
8.0,38.46734673547145,0.11879645538330078,0.9947,0.42,450,400.0

10.0,45.07558538586929,0.11961833190917968,0.99,0.44,300,300.0


