QPS,pruning_ratio,recall,gamma,nprobe,k_factor,total_distance_computation,actual_distance_computation
1162.2070135799893,0.7949613037109375,0.913,0.55,40,0.0,10389.981,1886.712
879.0690675207732,0.84525390625,0.9409,0.55,60,0.0,15396.357,2110.338
759.4710162575495,0.8751939086914062,0.9538,0.55,80,0.0,20335.396,2256.698
671.2828286966853,0.8950908813476562,0.9625,0.55,100,0.0,25218.616,2362.297
595.7118389643716,0.9247513427734375,0.9741,0.55,150,0.0,37252.22,2525.832
515.9834400265624,0.9413658447265625,0.9792,0.55,200,0.0,49091.804,2619.121
470.5568222372132,0.9519472045898437,0.9826,0.55,250,0.0,60770.672,2676.45
454.1794420191653,0.9593529663085938,0.9839,0.55,300,0.0,72363.488,2714.58
383.68464981113544,0.9689774169921875,0.9852,0.55,400,0.0,95306.888,2758.688
329.87864114321957,0.974971923828125,0.986,0.55,500,0.0,118052.88,2781.458
311.0863156714282,0.9790567016601562,0.9864,0.55,600,0.0,140662.608,2794.436
