QPS,pruning_ratio,recall,gamma,nprobe,k_factor,total_distance_computation,actual_distance_computation
310.2770912410406,0.71123828125,0.8051,0.62,40,0.0,14222.201,3713.646
252.11402181319477,0.7636902465820312,0.865,0.62,60,0.0,21295.828,4546.807
222.1420836211641,0.7979598999023437,0.9029,0.62,80,0.0,28300.08,5168.085
196.7879071945305,0.8227012939453126,0.9238,0.62,100,0.0,35267.02,5651.743
163.07397275314622,0.8634124145507812,0.9566,0.62,150,0.0,52553.324,6498.872
143.57744270891348,0.8886256713867188,0.9708,0.62,200,0.0,69647.808,7035.316
130.27682688902695,0.905991943359375,0.9791,0.62,250,0.0,86546.336,7394.112
120.67750009674504,0.9187272338867187,0.9845,0.62,300,0.0,103180.872,7636.454
106.89366782730743,0.936271484375,0.988,0.62,400,0.0,136119.008,7924.871
95.62029030395496,0.9477186279296875,0.9899,0.62,500,0.0,168496.24,8073.118
89.27967592251426,0.9557005004882813,0.9907,0.62,600,0.0,200223.184,8147.744
311.93312828848434,0.71123828125,0.8051,0.62,40,0.0,14222.201,3713.646
270.865409087231,0.7636902465820312,0.865,0.62,60,0.0,21295.828,4546.807
210.28008590878105,0.7979598999023437,0.9029,0.62,80,0.0,28300.08,5168.085
194.6733454185436,0.8227012939453126,0.9238,0.62,100,0.0,35267.02,5651.743
164.29436376428845,0.8634124145507812,0.9566,0.62,150,0.0,52553.324,6498.872
144.82809367454072,0.8886256713867188,0.9708,0.62,200,0.0,69647.808,7035.316
141.29000008455228,0.905991943359375,0.9791,0.62,250,0.0,86546.336,7394.112
121.75022449880511,0.9187272338867187,0.9845,0.62,300,0.0,103180.872,7636.454
111.11008091692604,0.936271484375,0.988,0.62,400,0.0,136119.008,7924.871
99.5210971450786,0.9477186279296875,0.9899,0.62,500,0.0,168496.24,8073.118
95.94208793509551,0.9557005004882813,0.9907,0.62,600,0.0,200223.184,8147.744
