QPS,pruning_ratio,recall,gamma,nprobe,k_factor,total_distance_computation,actual_distance_computation
160.5807809609868,0.0,0.8019,0.0,40,6000.0,60000.0,60000.0
132.5517916328148,0.0,0.8339,0.0,60,6000.0,60000.0,60000.0
114.77066985148154,0.0,0.8556,0.0,80,6000.0,60000.0,60000.0
100.3429475276718,0.0,0.8722,0.0,100,6000.0,60000.0,60000.0
64.78183317910022,0.0,0.9149,0.0,200,6000.0,60000.0,60000.0
53.41449574786355,0.0,0.938,0.0,300,6000.0,60000.0,60000.0
49.44172328388682,0.0,0.9527,0.0,400,6000.0,60000.0,60000.0
44.9320796499117,0.0,0.9675,0.0,600,6000.0,60000.0,60000.0
42.61133357173225,0.0,0.9779,0.0,800,6000.0,60000.0,60000.0
41.32215967490704,0.0,0.9826,0.0,1000,6000.0,60000.0,60000.0
40.23187997871798,0.0,0.9855,0.0,1200,6000.0,60000.0,60000.0
