QPS,pruning_ratio,recall,gamma,nprobe,k_factor,total_distance_computation,actual_distance_computation
224.07000991146776,0.4409473876953125,0.9073,0.5,200,0.0,53201.192,28496.584
165.94028545041016,0.48215313720703123,0.9303,0.5,300,0.0,78308.104,39016.192
134.35562201167298,0.5123652954101563,0.9452,0.5,400,0.0,103307.384,48648.604
97.38178762404337,0.5570376586914062,0.9621,0.5,600,0.0,153540.832,66096.212
78.92109102664118,0.5909742431640626,0.9736,0.5,800,0.0,204480.064,81677.512
65.42244299457217,0.619225830078125,0.9798,0.5,1000,0.0,256456.848,95755.6
57.477255066076715,0.6437898559570312,0.9841,0.5,1200,0.0,309435.456,108462.768
51.14572322450534,0.6658641967773438,0.9857,0.5,1400,0.0,363589.344,119899.2
46.18303569437762,0.6861415405273438,0.9875,0.5,1600,0.0,419008.896,130125.904
42.9200035770217,0.7050494995117188,0.9895,0.5,1800,0.0,475731.392,139154.176
40.0211323743563,0.7228255615234375,0.9903,0.5,2000,0.0,533725.632,146968.704
