QPS,pruning_ratio,recall,gamma,nprobe,k_factor,total_distance_computation,actual_distance_computation
3094.8448815905494,0.9724561157226562,0.9297,0.6,40,0.0,10882.478,273.918
2445.7595620576712,0.9812667236328125,0.9563,0.6,60,0.0,16149.651,279.77
2040.0162450176676,0.9858096923828125,0.9709,0.6,80,0.0,21385.276,282.78
1784.2597496517033,0.9885779418945313,0.9786,0.6,100,0.0,26559.86,284.493
1454.9718167340159,0.992318603515625,0.9863,0.6,150,0.0,39322.12,286.513
1156.6770090842479,0.994217041015625,0.9892,0.6,200,0.0,51929.204,287.245
916.7891623003576,0.9953590087890625,0.9901,0.6,250,0.0,64396.772,287.576
823.7788913022599,0.996125,0.9905,0.6,300,0.0,76773.32,287.726
646.1907551194657,0.9970819091796875,0.9913,0.6,400,0.0,101296.248,287.861
531.2261454762609,0.9976592407226562,0.9914,0.6,500,0.0,125620.128,287.897
459.5880049431167,0.99804150390625,0.9914,0.6,600,0.0,149701.36,287.905
