QPS,pruning_ratio,recall,gamma,nprobe,k_factor,total_distance_computation,actual_distance_computation
66.10976041283294,0.565059814453125,0.8826,0.48,50,0.0,81636.32,30984.284
63.99333663132977,0.5874028930664063,0.9028,0.48,60,0.0,97778.488,35121.864
57.90748666892039,0.6063344116210938,0.9166,0.48,70,0.0,113744.32,38908.608
55.924836281041266,0.6227700805664063,0.9262,0.48,80,0.0,129675.608,42440.04
50.833384690237274,0.6372152709960938,0.9341,0.48,90,0.0,145558.976,45803.9
47.5825003340687,0.6502174682617188,0.9401,0.48,100,0.0,161417.76,48927.044
31.94707644274659,0.73580029296875,0.9732,0.48,200,0.0,316489.888,72294.72
25.36636009342369,0.7846964721679688,0.9832,0.48,300,0.0,467737.664,87225.504
22.531909000161903,0.81824755859375,0.987,0.48,400,0.0,615690.176,97158.464

56.96658126735562,0.4920774841308594,0.8855,0.45,50,0.0,81636.32,36721.196
55.14185871521025,0.5137681274414062,0.9057,0.45,60,0.0,97778.488,41999.888
49.21376269545902,0.5323765258789063,0.9195,0.45,70,0.0,113744.32,46892.04
47.264361470388,0.548634521484375,0.9291,0.45,80,0.0,129675.608,51516.816
43.14361373394778,0.5630863647460937,0.937,0.45,90,0.0,145558.976,55949.272
41.32276504846763,0.5761986083984375,0.943,0.45,100,0.0,161417.76,60120.836
25.543365724711574,0.6649550170898437,0.9762,0.45,200,0.0,316489.888,92837.392
20.385624314264714,0.71828125,0.9862,0.45,300,0.0,467737.664,115395.088
17.066973616631614,0.756447998046875,0.99,0.45,400,0.0,615690.176,131477.496
