QPS,recall,gamma,ef,m
tHNSW
367.97030448998856,0.9518,0.67,300,480
438.7270181862913,0.9581,0.67,150,240
663.0294900275358,0.9551,0.67,90,120
303.4596084309063,0.9531,0.67,300,60
160.2973472253237,0.9501,0.65,400,30
47.873401129741794,0.9466,0.6,500,15
tIVFPQ
31.46153359934263,0.95,0.62,120,480
63.940312878303246,0.95,0.62,120,240
107.679226449893,0.9473333333333334,0.62,120,120
141.6394540961363,0.9466666666666667,0.62,120,60
169.48008995720744,0.9436666666666667,0.62,120,30
126.05892542104256,0.9513333333333334,0.62,150,15
