QPS,pruning_ratio,recall,gamma,ef
Sample
96.42562505725863,0.9282532958984375,0.9947,0.73,1500
107.77185606557275,0.923189697265625,0.9639,0.84,1500
110.27942449460834,0.9225391235351562,0.9535,0.85,1500
113.58150582995931,0.9211731567382813,0.928,0.87,1500
115.6937674983105,0.920442138671875,0.9149,0.88,1500
Gauss
105.33228520991273,0.923801025390625,0.9732,0.83,1500
107.77833079192085,0.923189697265625,0.9639,0.84,1500
111.63135132758488,0.9218750610351563,0.9409,0.86,1500
114.27499365661731,0.9211731567382813,0.928,0.87,1500
116.94099619592916,0.920442138671875,0.9149,0.88,1500
