QPS,pruning_ratio,recall,gamma,ef
Sample
70.93812918354948,0.9378494262695313,0.9829,0.69,5000
87.52425314503141,0.9361314086914062,0.9776,0.87,5000
89.51956024963945,0.9353076782226563,0.9742,0.89,5000
89.13048379703362,0.9348336791992188,0.9728,0.9,5000
89.12118306276298,0.9343240356445313,0.9709,0.91,5000

83.15755660440242,0.9398034057617187,0.9827,0.69,4000
105.08003604730584,0.9379725341796875,0.9762,0.87,4000
104.36232770142733,0.9371448974609375,0.9724,0.89,4000
105.68748721366065,0.9366827392578125,0.9704,0.9,4000
106.69637057415454,0.9361801147460938,0.9687,0.91,4000

105.76770198950162,0.9414512939453125,0.9825,0.69,3000
138.99874207633692,0.9394971923828125,0.9725,0.87,3000
143.3995630151809,0.9386728515625,0.969,0.89,3000
145.7335917571772,0.938209716796875,0.9667,0.9,3000
146.21637471934085,0.9377113647460937,0.9652,0.91,3000

146.6646627911864,0.9425842895507812,0.9817,0.69,2000
207.76681475295052,0.9405145263671875,0.9657,0.87,2000
210.21380612675205,0.939702880859375,0.9623,0.89,2000
215.80748856364954,0.9392461547851563,0.9604,0.9,2000
216.04750928772125,0.9387675170898437,0.9583,0.91,2000

226.61502696680049,0.9421904907226563,0.9808,0.69,1000
389.1674905953367,0.9406001586914062,0.9506,0.87,1000
404.42232785551465,0.9398357543945313,0.9463,0.89,1000
414.6854447357007,0.9394307250976562,0.944,0.9,1000
410.58777635454044,0.9389799194335937,0.9408,0.91,1000

Gauss
49.724860892810014,0.9385299072265625,0.9827,0.72,5000
74.45720918463407,0.9378907470703125,0.9812,0.81,5000
76.59937033452744,0.9368262939453125,0.9794,0.85,5000
79.36261716443201,0.9353076782226563,0.9742,0.89,5000
79.66174965433504,0.9348336791992188,0.9728,0.9,5000

94.59562961075163,0.9404622192382812,0.9808,0.77,4000
102.00060884648397,0.939775390625,0.9794,0.81,4000
105.28784826314251,0.9386739501953125,0.9775,0.85,4000
109.32862130022815,0.9371448974609375,0.9724,0.89,4000
110.81674555864858,0.9366827392578125,0.9704,0.9,4000

121.79253538464255,0.9420841674804687,0.9791,0.77,3000
133.60052776346788,0.9413439331054687,0.9769,0.81,3000
138.3601923100268,0.940196533203125,0.9745,0.85,3000
143.6994893419126,0.9386728515625,0.969,0.89,3000
145.84611074974836,0.938209716796875,0.9667,0.9,3000
