enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8703,1.0733180046081543,931.6903244952821,1000
False,140,0.8887,1.2309181690216064,812.4016893786275,1000
False,160,0.9033,1.3688700199127197,730.5295502517915,1000
False,180,0.9157,1.494842767715454,668.9666776983408,1000
False,200,0.9246,1.6504952907562256,605.8787356744405,1000
False,220,0.9327,1.7816367149353027,561.2816527730309,1000
False,240,0.9398,1.9197163581848145,520.9102874684825,1000
False,260,0.9464,2.0530271530151367,487.0856181962183,1000
False,280,0.9512,2.188891887664795,456.85216599109583,1000
False,300,0.9555,2.320225238800049,430.99263954096546,1000
False,320,0.9589,2.4392261505126953,409.9660869041652,1000
False,340,0.962,2.565483570098877,389.79006205892745,1000
False,360,0.9642,2.700253963470459,370.33553640812573,1000
False,380,0.9674,2.8540968894958496,350.3735292520644,1000
False,400,0.9688,3.0589568614959717,326.9088271846219,1000
False,450,0.9743,3.3021340370178223,302.83446667813223,1000
False,500,0.9783,3.683742046356201,271.46309036192065,1000
False,550,0.981,3.952094554901123,253.0303832836861,1000
False,600,0.983,4.197673559188843,238.22719558812946,1000
False,650,0.9844,4.494195222854614,222.50924813293312,1000
False,700,0.9859,4.788343191146851,208.84050287976353,1000
False,750,0.987,5.07865571975708,196.90249845245103,1000
False,800,0.9875,5.375093936920166,186.04326021751024,1000
False,900,0.9892,5.931253671646118,168.5984203947337,1000
False,1000,0.9907,6.526642322540283,153.2181404435815,1000
False,2000,0.9956,11.844848871231079,84.42488467951776,1000
False,3000,0.9971,16.814342260360718,59.473037036808066,1000
False,4000,0.9972,20.711374282836914,48.28264828513476,1000
