enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,120,0.867,0.6886413097381592,1452.1347846242743,1000
True,0.8,140,0.8865,0.7759609222412109,1288.724691330713,1000
True,0.8,160,0.9019,0.8684451580047607,1151.4831889874133,1000
True,0.8,180,0.9125,0.9574401378631592,1044.4517212656522,1000
True,0.8,200,0.9251,1.0503900051116943,952.0273375922536,1000
True,0.8,220,0.9317,1.1386282444000244,878.249775480432,1000
True,0.8,240,0.9391,1.2272589206695557,814.8239814418541,1000
True,0.8,260,0.9457,1.3178374767303467,758.8189117834734,1000
True,0.8,280,0.9507,1.4225945472717285,702.9409763434098,1000
True,0.8,300,0.9547,1.5499026775360107,645.2018016962008,1000
True,0.8,320,0.9583,1.599029302597046,625.3794088550228,1000
True,0.8,340,0.9616,1.6822230815887451,594.4514796786453,1000
True,0.8,360,0.9639,1.7628633975982666,567.2589273578456,1000
True,0.8,380,0.9658,1.8395109176635742,543.6227588527358,1000
True,0.8,400,0.9683,1.926839828491211,518.9844974208563,1000
True,0.8,450,0.9735,2.134155035018921,468.56951982925375,1000
True,0.8,500,0.978,2.3789565563201904,420.35235882861883,1000
True,0.8,550,0.9807,2.587996482849121,386.3992886493809,1000
True,0.8,600,0.9829,2.805941581726074,356.3866070885376,1000
True,0.8,650,0.9841,2.9609484672546387,337.7296197684892,1000
True,0.8,700,0.985,3.146684169769287,317.794842458981,1000
True,0.8,750,0.9864,3.3194711208343506,301.25280913685117,1000
True,0.8,800,0.9874,3.514878034591675,284.5048932448009,1000
True,0.8,900,0.9887,3.901623249053955,256.30357832281084,1000
True,0.8,1000,0.9906,4.265342950820923,234.44773644931328,1000
True,0.8,2000,0.9958,7.9101409912109375,126.41999695215462,1000
True,0.8,3000,0.9972,11.327324390411377,88.28210136248096,1000
True,0.8,4000,0.9972,14.824617862701416,67.45536439869991,1000
True,0.9,120,0.8455,0.5800065994262695,1724.118313462604,1000
True,0.9,140,0.8683,0.6583480834960938,1518.9533091515916,1000
