enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,100,0.8826,0.3403184413909912,2938.424364876254,1000
False,120,0.8925,0.3969838619232178,2518.9940849369186,1000
False,140,0.898,0.4497494697570801,2223.4600977742625,1000
False,160,0.9056,0.507009744644165,1972.3486788243697,1000
False,180,0.909,0.5618681907653809,1779.776852357121,1000
False,200,0.9108,0.6158359050750732,1623.809186439195,1000
False,220,0.9144,0.6708266735076904,1490.6980290021754,1000
False,240,0.9158,0.7242748737335205,1380.6912765662582,1000
False,260,0.9179,0.7862679958343506,1271.830985488411,1000
False,280,0.922,0.87229323387146,1146.4034812717105,1000
False,300,0.9246,0.9130878448486328,1095.1848780396097,1000
False,320,0.9264,0.9676022529602051,1033.4825047592437,1000
False,340,0.9281,1.0265111923217773,974.1734990128905,1000
False,360,0.9287,1.081117868423462,924.9685249012192,1000
False,380,0.9316,1.119788646697998,893.0256642168792,1000
False,400,0.932,1.163898229598999,859.1816488496015,1000
False,500,0.9394,1.4548766613006592,687.3434886954612,1000
False,600,0.9443,1.7355632781982422,576.1818151846011,1000
False,700,0.9497,2.0230214595794678,494.3101296650967,1000
False,800,0.9522,2.289916515350342,436.6971430165902,1000
False,900,0.9543,2.624382972717285,381.0419479153229,1000
False,1000,0.9574,2.8680760860443115,348.6657850068452,1000
False,1200,0.962,3.410407543182373,293.22008802117074,1000
False,1400,0.9656,3.9569549560546875,252.71958137149423,1000
False,1600,0.9687,4.5263800621032715,220.92709544485982,1000
False,1800,0.9704,5.0605080127716064,197.6086190311764,1000
False,2000,0.973,5.6516172885894775,176.94050197259173,1000
False,2500,0.9765,7.009074926376343,142.67218006713406,1000
False,3000,0.9784,8.37138056755066,119.45460989746701,1000
False,3500,0.9791,9.835346698760986,101.674097581733,1000
False,4000,0.9824,10.974668025970459,91.11892930461309,1000
