enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,100,0.886,0.390918493270874,2558.07800657587,1000
True,0.8,120,0.8921,0.4548830986022949,2198.3670157732145,1000
True,0.8,140,0.898,0.5248970985412598,1905.135316577473,1000
True,0.8,160,0.9037,0.5940632820129395,1683.3223501233304,1000
True,0.8,180,0.9082,0.6637709140777588,1506.5438674567367,1000
True,0.8,200,0.9117,0.7334980964660645,1363.3300547307765,1000
True,0.8,220,0.9117,0.802340030670166,1246.3543656979643,1000
True,0.8,240,0.9158,0.8792572021484375,1137.3236381306076,1000
True,0.8,260,0.9186,0.9554038047790527,1046.6778497195337,1000
True,0.8,280,0.9196,1.0301728248596191,970.7109097313543,1000
True,0.8,300,0.9237,1.1043906211853027,905.476722472286,1000
True,0.8,320,0.9256,1.185349702835083,843.632893827223,1000
True,0.8,340,0.9279,1.2607975006103516,793.1487804472173,1000
True,0.8,360,0.93,1.3388757705688477,746.8952848217803,1000
True,0.8,380,0.9312,1.4083187580108643,710.0665203184673,1000
True,0.8,400,0.9318,1.483921766281128,673.8899736649262,1000
True,0.8,500,0.9396,1.8669161796569824,535.6426876024691,1000
True,0.8,600,0.9444,2.2905561923980713,436.57518785996757,1000
True,0.8,700,0.9505,2.768568515777588,361.19749043636625,1000
True,0.8,800,0.9517,3.1301515102386475,319.4733535194782,1000
True,0.8,900,0.9545,3.5373222827911377,282.69971465844105,1000
True,0.8,1000,0.9559,3.969917058944702,251.8944313324832,1000
True,0.8,1200,0.9615,4.8126866817474365,207.78414763474908,1000
True,0.8,1400,0.9649,5.6876091957092285,175.82080019745501,1000
True,0.8,1600,0.9678,6.458277463912964,154.84004915981365,1000
True,0.8,1800,0.97,7.2169108390808105,138.56344110347442,1000
True,0.8,2000,0.9722,7.987156391143799,125.20100409061794,1000
True,0.8,2500,0.9764,10.064109086990356,99.36299292429939,1000
True,0.8,3000,0.9783,11.97713017463684,83.4924548217429,1000
True,0.8,3500,0.9786,13.91824197769165,71.84815450132379,1000
True,0.8,4000,0.9812,16.07046413421631,62.22595636617971,1000
True,0.9,100,0.8807,0.26627683639526367,3755.4900138425533,1000
True,0.9,120,0.8929,0.3090207576751709,3236.0285681881483,1000
True,0.9,140,0.8969,0.35282444953918457,2834.2707012115393,1000
True,0.9,160,0.9002,0.39670467376708984,2520.7668730091955,1000
True,0.9,180,0.9045,0.4389655590057373,2278.083051128232,1000
True,0.9,200,0.9088,0.4840974807739258,2065.6996570221804,1000
True,0.9,220,0.9108,0.5292243957519531,1889.5576394945688,1000
True,0.9,240,0.9132,0.5707554817199707,1752.0637681595306,1000
True,0.9,260,0.918,0.6212337017059326,1609.7001776528864,1000
