enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8703,1.0489630699157715,953.3224082715294,1000
False,140,0.8887,1.1976087093353271,834.9972676426177,1000
False,160,0.9033,1.3477344512939453,741.985929824611,1000
False,180,0.9157,1.500669240951538,666.3693588907868,1000
False,200,0.9246,1.635650396347046,611.377591588847,1000
False,220,0.9327,1.7777526378631592,562.5079545385966,1000
False,240,0.9398,1.9161224365234375,521.887318335656,1000
False,260,0.9464,2.0569164752960205,486.16461193743186,1000
False,280,0.9512,2.201974630355835,454.13783892614686,1000
False,300,0.9555,2.396078586578369,417.3485818042441,1000
False,320,0.9589,2.675811529159546,373.7183987371835,1000
False,340,0.962,2.6875693798065186,372.08341764631626,1000
False,360,0.9642,2.9226975440979004,342.1496699237324,1000
False,380,0.9674,2.8884904384613037,346.2015960602241,1000
False,400,0.9688,3.15185284614563,317.2736954464388,1000
False,450,0.9743,3.3446226119995117,298.98739439609636,1000
False,500,0.9783,3.7086973190307617,269.636455600896,1000
False,550,0.981,3.9515931606292725,253.0624888116657,1000
False,600,0.983,4.248251438140869,235.39096368496084,1000
False,650,0.9844,4.548479080200195,219.85370985942544,1000
False,700,0.9859,4.795981168746948,208.5079079368594,1000
False,750,0.987,5.078073740005493,196.92506473900048,1000
False,800,0.9875,5.369067192077637,186.25209263083104,1000
False,900,0.9892,6.101928949356079,163.88260307513536,1000
False,1000,0.9907,6.806433916091919,146.91981327193648,1000
False,1200,0.9925,7.88410758972168,126.83743703646,1000
False,1400,0.9932,9.21239948272705,108.549352627941,1000
False,1600,0.994,10.15113115310669,98.51118904063773,1000
False,1800,0.9947,11.145577669143677,89.72168421278704,1000
False,2000,0.9956,12.312135457992554,81.22067885070574,1000
False,3000,0.9971,17.377635717391968,57.54522745572203,1000
False,4000,0.9972,21.62709355354309,46.238298157089794,1000
