enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,120,0.8675,0.6728911399841309,1486.1244866793513,1000
True,0.8,140,0.8861,0.756782054901123,1321.3843979567598,1000
True,0.8,160,0.9019,0.8466281890869141,1181.1560409753151,1000
True,0.8,180,0.9123,0.9328722953796387,1071.9580857453197,1000
True,0.8,200,0.9247,1.023254632949829,977.2738552057264,1000
True,0.8,220,0.9322,1.1166939735412598,895.5004895645673,1000
True,0.8,240,0.9392,1.203648567199707,830.8072864877028,1000
True,0.8,260,0.9458,1.2847497463226318,778.3617026291093,1000
True,0.8,280,0.9508,1.371333360671997,729.2172922198641,1000
True,0.8,300,0.9548,1.5079724788665771,663.1420758763584,1000
True,0.8,320,0.9582,1.5625500679016113,639.9794928446202,1000
True,0.8,340,0.9616,1.6300806999206543,613.4665603050671,1000
True,0.8,360,0.9637,1.7172250747680664,582.3348463130629,1000
True,0.8,380,0.9656,1.8168468475341797,550.4041253434199,1000
True,0.8,400,0.9682,1.9081785678863525,524.0599684062472,1000
True,0.8,450,0.9738,2.1629908084869385,462.3228152779451,1000
True,0.8,500,0.978,2.403834819793701,416.00196143502933,1000
True,0.8,550,0.9805,2.6202447414398193,381.6437389167326,1000
True,0.8,600,0.9831,2.7517478466033936,363.4053902265591,1000
True,0.8,650,0.9844,2.917227268218994,342.79125623644444,1000
True,0.8,700,0.9852,3.087310314178467,323.90653942608293,1000
True,0.8,750,0.9861,3.269493579864502,305.8577652999836,1000
True,0.8,800,0.9871,3.4508116245269775,289.7868990855378,1000
True,0.8,900,0.9893,3.834324598312378,260.80212417074324,1000
True,0.8,1000,0.9907,4.18065071105957,239.19721333202546,1000
True,0.8,1200,0.9924,4.932026147842407,202.75642707966296,1000
True,0.8,1400,0.9932,5.75077486038208,173.88961040522463,1000
True,0.8,1600,0.9939,6.613270282745361,151.21111904485338,1000
True,0.8,1800,0.9949,7.249567270278931,137.93926764424995,1000
True,0.8,2000,0.9958,7.960827827453613,125.61507693350838,1000
True,0.8,3000,0.9971,11.19171404838562,89.35181828955393,1000
True,0.8,4000,0.9975,14.293338060379028,69.96266342933487,1000
True,0.9,120,0.8452,0.5555696487426758,1799.9543392320409,1000
True,0.9,140,0.8683,0.6293962001800537,1588.8243362669273,1000
True,0.9,160,0.8879,0.7052600383758545,1417.9167194881807,1000
True,0.9,180,0.9015,0.7699947357177734,1298.710177632345,1000
True,0.9,200,0.9128,0.8474178314208984,1180.0554141317289,1000
True,0.9,220,0.9221,0.9414610862731934,1062.1787927088255,1000
True,0.9,240,0.9294,0.992694616317749,1007.3591450604912,1000
True,0.9,260,0.9378,1.054884910583496,947.9707122238224,1000
True,0.9,280,0.943,1.1226348876953125,890.7615565492775,1000
True,0.9,300,0.9475,1.1948306560516357,836.9386866123261,1000
True,0.9,320,0.9505,1.3069243431091309,765.155232797204,1000
True,0.9,340,0.9545,1.373943567276001,727.8319312507234,1000
True,0.9,360,0.9577,1.3957138061523438,716.4792635796632,1000
True,0.9,380,0.9613,1.5200073719024658,657.8915461103217,1000
True,0.9,400,0.9633,1.5555627346038818,642.8541760192309,1000
True,0.9,450,0.9684,1.7265186309814453,579.2002368555657,1000
True,0.9,500,0.9719,1.9074852466583252,524.2504505614785,1000
True,0.9,550,0.9763,2.059886932373047,485.4635389370485,1000
True,0.9,600,0.979,2.224290609359741,449.58154109540953,1000
True,0.9,650,0.981,2.367509603500366,422.3847702756933,1000
True,0.9,700,0.9827,2.50325870513916,399.4792859191948,1000
True,0.9,750,0.9837,2.6650984287261963,375.2206632300472,1000
True,0.9,800,0.985,2.8149936199188232,355.24059199425017,1000
True,0.9,900,0.9872,3.1584792137145996,316.60806747052413,1000
True,0.9,1000,0.9889,3.462476968765259,288.8105853182343,1000
