enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,100,0.8842,0.4273645877838135,2339.9224657000823,1000
True,0.8,120,0.8917,0.4805572032928467,2080.917720404266,1000
True,0.8,140,0.8987,0.5431399345397949,1841.1461511245805,1000
True,0.8,160,0.9035,0.5732228755950928,1744.5221441343342,1000
True,0.8,180,0.907,0.6417768001556396,1558.174118723965,1000
True,0.8,200,0.9109,0.7151215076446533,1398.3637595988848,1000
True,0.8,220,0.9143,0.7850706577301025,1273.7706984124575,1000
True,0.8,240,0.9154,0.85414719581604,1170.7583949211637,1000
True,0.8,260,0.9205,0.9277644157409668,1077.8598349251643,1000
True,0.8,280,0.9213,0.9854977130889893,1014.7156981882323,1000
True,0.8,300,0.9245,1.0499868392944336,952.3928896784805,1000
True,0.8,320,0.9262,1.1238982677459717,889.7602467219251,1000
True,0.8,340,0.9283,1.1905922889709473,839.918088890295,1000
True,0.8,360,0.9299,1.2676377296447754,788.8689146860796,1000
True,0.8,380,0.9308,1.3415729999542236,745.3936535947887,1000
True,0.8,400,0.9339,1.4152753353118896,706.5762930007016,1000
True,0.8,500,0.9393,1.7844290733337402,560.4033328888555,1000
True,0.8,600,0.9445,2.2700932025909424,440.5105476985097,1000
True,0.8,700,0.9491,2.57018780708313,389.0766259353187,1000
True,0.8,800,0.9517,2.958761215209961,337.97928499919095,1000
True,0.8,900,0.9535,3.330808401107788,300.227416163419,1000
True,0.8,1000,0.9586,3.7021617889404297,270.1124524020878,1000
True,0.8,1200,0.9624,4.517403602600098,221.36609609653354,1000
True,0.8,1400,0.9654,5.261241912841797,190.0691921348779,1000
True,0.8,1600,0.9667,6.14476466178894,162.74016256773413,1000
True,0.8,1800,0.971,6.972813367843628,143.41413533476722,1000
True,0.8,2000,0.9721,7.84900426864624,127.40469564969104,1000
True,0.8,2500,0.9766,9.894644021987915,101.06477785130988,1000
True,0.8,3000,0.9783,11.539915084838867,86.6557502935008,1000
True,0.8,3500,0.9795,13.52569031715393,73.93337985357775,1000
True,0.8,4000,0.9812,15.45317816734314,64.71160748753147,1000
True,0.8,4500,0.9828,17.093011379241943,58.503442009897554,1000
True,0.8,5000,0.9828,18.895379304885864,52.922991587759526,1000
True,0.8,5500,0.9829,20.955750703811646,47.71959802986728,1000
True,0.8,6000,0.9844,22.47413659095764,44.49559145254751,1000
True,0.9,100,0.881,0.2525143623352051,3960.1707829692896,1000
True,0.9,120,0.8918,0.2927556037902832,3415.8184747040896,1000
True,0.9,140,0.8956,0.3332638740539551,3000.6252638055244,1000
True,0.9,160,0.8995,0.37421393394470215,2672.2682115513385,1000
True,0.9,180,0.9051,0.41910505294799805,2386.036610548999,1000
True,0.9,200,0.9084,0.4566495418548584,2189.8631408631527,1000
True,0.9,220,0.9117,0.4976208209991455,2009.5622164525892,1000
True,0.9,240,0.9141,0.5475621223449707,1826.276798909016,1000
True,0.9,260,0.9177,0.6022827625274658,1660.3496932296766,1000
True,0.9,280,0.9208,0.6281511783599854,1591.9734523317456,1000
True,0.9,300,0.9229,0.6777305603027344,1475.5126278403495,1000
True,0.9,320,0.9266,0.7444643974304199,1343.2475796714823,1000
True,0.9,340,0.9272,0.7966573238372803,1255.2448462825569,1000
True,0.9,360,0.9282,0.8125343322753906,1230.717226679687,1000
True,0.9,380,0.9303,0.8579843044281006,1165.5224866456754,1000
True,0.9,400,0.9311,0.9053781032562256,1104.5109180390639,1000
True,0.9,500,0.939,1.134488821029663,881.4542562811673,1000
True,0.9,600,0.9435,1.3903207778930664,719.2584732247401,1000
True,0.9,700,0.9489,1.5920848846435547,628.1072131552118,1000
True,0.9,800,0.9516,1.8330464363098145,545.5399166063373,1000
True,0.9,900,0.9546,2.0917136669158936,478.07690690018774,1000
True,0.9,1000,0.9568,2.335265636444092,428.21680942588597,1000
True,0.9,1200,0.9615,2.865537643432617,348.97465133352904,1000
True,0.9,1400,0.965,3.353943347930908,298.1564970728898,1000
True,0.9,1600,0.9691,3.868980646133423,258.4660124881676,1000
