enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8703,1.0519616603851318,950.6049865295392,1000
False,140,0.8887,1.2039337158203125,830.6105119073269,1000
False,160,0.9033,1.3578822612762451,736.4408745277525,1000
False,180,0.9157,1.5144469738006592,660.3070409856596,1000
False,200,0.9246,1.6586065292358398,602.915750283899,1000
False,220,0.9327,1.8816771507263184,531.4407945135566,1000
False,240,0.9398,2.026778221130371,493.3938945931054,1000
False,260,0.9464,2.131068468093872,469.24817994911587,1000
False,280,0.9512,2.231480836868286,448.1329095361733,1000
False,300,0.9555,2.3459270000457764,426.27072367575244,1000
False,320,0.9589,2.490959405899048,401.4517449107428,1000
False,340,0.962,2.6066842079162598,383.6291319689175,1000
False,360,0.9642,2.7422213554382324,364.6678624308907,1000
False,380,0.9674,2.882725477218628,346.8939404402951,1000
False,400,0.9688,3.010171413421631,332.2069951037474,1000
False,450,0.9743,3.331329822540283,300.180424416054,1000
False,500,0.9783,3.639918088912964,274.7314570198592,1000
False,550,0.981,3.9617698192596436,252.41244333242844,1000
False,600,0.983,4.267847537994385,234.31015074871584,1000
False,650,0.9844,4.589998960494995,217.86497308752286,1000
False,700,0.9859,4.8972392082214355,204.1966825555938,1000
False,750,0.987,5.183645963668823,192.91440947333354,1000
False,800,0.9875,5.5039591789245605,181.68739401795378,1000
False,900,0.9892,6.248974561691284,160.0262555284511,1000
False,1000,0.9907,6.609344959259033,151.30092409522365,1000
False,2000,0.9956,11.825702905654907,84.5615696570402,1000
False,3000,0.9971,16.50312042236328,60.59460116675304,1000
False,4000,0.9972,20.482492208480835,48.82218383493133,1000
