enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,120,0.8299,0.5718495845794678,1748.71159648632,1000
True,0.8,140,0.853,0.6451249122619629,1550.0874032189515,1000
True,0.8,160,0.8729,0.7172243595123291,1394.2638544512654,1000
True,0.8,180,0.8883,0.791398286819458,1263.58625821505,1000
True,0.8,200,0.9005,0.8631811141967773,1158.5054208820798,1000
True,0.8,220,0.9125,0.9374790191650391,1066.6905387286906,1000
True,0.8,240,0.9214,1.0126011371612549,987.5556754789145,1000
True,0.8,260,0.9284,1.081920862197876,924.2820200070297,1000
True,0.8,280,0.9354,1.1482832431793213,870.8652729541185,1000
True,0.8,300,0.9408,1.2169442176818848,821.730351704095,1000
True,0.8,320,0.9463,1.2894039154052734,775.5521664331919,1000
True,0.8,340,0.9504,1.3609702587127686,734.7699140360488,1000
True,0.8,360,0.9523,1.4397835731506348,694.5488326497089,1000
True,0.8,380,0.9561,1.5139310359954834,660.5320693108397,1000
True,0.8,400,0.9591,1.5926342010498047,627.8905723240387,1000
True,0.8,450,0.9648,1.7680070400238037,565.6086075237214,1000
True,0.8,500,0.9704,1.9895668029785156,502.62197705698173,1000
True,0.8,550,0.9741,2.134848117828369,468.4173977759269,1000
True,0.8,600,0.9773,2.294574022293091,435.8107388493165,1000
True,0.8,650,0.9798,2.4615180492401123,406.25336885451924,1000
True,0.8,700,0.9816,2.6333770751953125,379.74052763629834,1000
True,0.8,750,0.9834,2.8248374462127686,354.0026706105479,1000
True,0.8,800,0.9846,3.1066343784332275,321.8917575052173,1000
True,0.8,900,0.987,3.5075931549072266,285.0957781694181,1000
True,0.8,1000,0.9881,3.7928061485290527,263.6570288169949,1000
True,0.8,2000,0.9955,7.145082950592041,139.956387758541,1000
True,0.8,3000,0.997,10.531582593917847,94.9524908609192,1000
True,0.8,4000,0.9971,13.527785778045654,73.92192753546612,1000
True,0.9,120,0.7035,0.42417097091674805,2357.539927446543,1000
True,0.9,140,0.7383,0.4775125980377197,2094.185586117265,1000
True,0.9,160,0.7675,0.5307018756866455,1884.2970899738311,1000
True,0.9,180,0.7939,0.5799305438995361,1724.3444245510102,1000
True,0.9,200,0.8126,0.6296956539154053,1588.0687658904221,1000
True,0.9,220,0.8265,0.6787042617797852,1473.3957871100913,1000
True,0.9,240,0.8404,0.7328696250915527,1364.4991766101323,1000
True,0.9,260,0.8537,0.7792246341705322,1283.326984476663,1000
True,0.9,280,0.862,0.829021692276001,1206.2410541449092,1000
True,0.9,300,0.871,0.8820624351501465,1133.7065950776805,1000
True,0.9,320,0.8792,0.929039716720581,1076.380247262089,1000
True,0.9,340,0.8869,0.9788708686828613,1021.5852080117262,1000
True,0.9,360,0.8938,1.0292224884033203,971.607219301383,1000
True,0.9,380,0.8988,1.0799109935760498,926.0022408778059,1000
True,0.9,400,0.9045,1.130856990814209,884.285111311915,1000
True,0.9,450,0.917,1.2323362827301025,811.4668163341036,1000
True,0.9,500,0.9265,1.3617002964019775,734.3759876107109,1000
True,0.9,550,0.9346,1.4851698875427246,673.3236435695189,1000
True,0.9,600,0.9412,1.6070027351379395,622.276476657125,1000
True,0.9,650,0.9462,1.7285752296447754,578.5111245667343,1000
True,0.9,700,0.9511,1.8558251857757568,538.8438564497594,1000
True,0.9,750,0.9558,1.976919174194336,505.83757447116426,1000
True,0.9,800,0.9584,2.0938713550567627,477.58425921677076,1000
True,0.9,900,0.9644,2.338453769683838,427.63299961888976,1000
True,0.9,1000,0.9685,2.5666422843933105,389.61409078335,1000
True,0.9,2000,0.9895,4.865060806274414,205.54727675968846,1000
True,0.9,3000,0.9945,7.1645402908325195,139.57629651124483,1000
True,0.9,4000,0.9962,9.31166410446167,107.39218992240619,1000
True,1.0,120,0.58,0.37422943115234375,2672.1575503047848,1000
True,1.0,140,0.6148,0.41921567916870117,2385.406962790576,1000
True,1.0,160,0.6461,0.4614708423614502,2166.9841476500983,1000
True,1.0,180,0.6697,0.5071146488189697,1971.9406692922826,1000
True,1.0,200,0.6911,0.5526835918426514,1809.3535157539095,1000
True,1.0,220,0.7129,0.5952854156494141,1679.8664534878133,1000
True,1.0,240,0.7327,0.6393539905548096,1564.0787650863556,1000
True,1.0,260,0.7493,0.6815986633300781,1467.139027406997,1000
True,1.0,280,0.7627,0.7218258380889893,1385.3757336360636,1000
True,1.0,300,0.7771,0.7665572166442871,1304.5340625421827,1000
True,1.0,320,0.7891,0.8045210838317871,1242.9755044295202,1000
True,1.0,340,0.7996,0.8474953174591064,1179.9475223038648,1000
True,1.0,360,0.8095,0.8914735317230225,1121.7382955467222,1000
True,1.0,380,0.818,0.9341821670532227,1070.4550303656433,1000
True,1.0,400,0.827,0.97548508644104,1025.130997797619,1000
True,1.0,450,0.8457,1.0803837776184082,925.5970153535573,1000
True,1.0,500,0.8611,1.181152105331421,846.6310100843522,1000
True,1.0,550,0.8744,1.2811448574066162,780.5518589242675,1000
True,1.0,600,0.884,1.3712599277496338,729.2563428445648,1000
True,1.0,650,0.893,1.451448678970337,688.9668332671629,1000
True,1.0,700,0.9014,1.5439214706420898,647.701336509115,1000
True,1.0,750,0.9071,1.6426877975463867,608.7584028405505,1000
True,1.0,800,0.9124,1.738509178161621,575.2054763711087,1000
True,1.0,900,0.9242,1.9364278316497803,516.4148044433078,1000
True,1.0,1000,0.9307,2.134033679962158,468.59616574455026,1000
True,1.0,2000,0.9729,4.044301748275757,247.26147113685047,1000
True,1.0,3000,0.9854,5.902278661727905,169.42609072057058,1000
True,1.0,4000,0.9916,7.798347473144531,128.232295809303,1000
True,1.1,120,0.4728,0.35025954246520996,2855.025713109091,1000
True,1.1,140,0.5096,0.3926730155944824,2546.6481277967687,1000
True,1.1,160,0.5415,0.43519043922424316,2297.844598292574,1000
True,1.1,180,0.5686,0.47751832008361816,2094.160491737553,1000
True,1.1,200,0.5933,0.5173141956329346,1933.0612004112872,1000
True,1.1,220,0.621,0.5554673671722412,1800.285775725717,1000
True,1.1,240,0.6399,0.5984995365142822,1670.8450700297853,1000
True,1.1,260,0.6583,0.6391139030456543,1564.666321972605,1000
True,1.1,280,0.6768,0.6790187358856201,1472.7134129748797,1000
True,1.1,300,0.6921,0.7406005859375,1350.255480468106,1000
True,1.1,320,0.7057,0.7793786525726318,1283.0733773617285,1000
True,1.1,340,0.7182,0.8194713592529297,1220.2989021015317,1000
True,1.1,360,0.7293,0.8576798439025879,1165.936225631503,1000
True,1.1,380,0.7404,0.8988211154937744,1112.5684329864036,1000
True,1.1,400,0.7513,0.9385380744934082,1065.4868749355394,1000
True,1.1,450,0.774,1.0223491191864014,978.1394449635883,1000
True,1.1,500,0.7922,1.1142723560333252,897.4466561836632,1000
True,1.1,550,0.8087,1.2033734321594238,830.9972393237274,1000
True,1.1,600,0.8214,1.3029041290283203,767.5161799861513,1000
True,1.1,650,0.8341,1.3975589275360107,715.5333348004627,1000
True,1.1,700,0.8445,1.4920809268951416,670.2049345814582,1000
True,1.1,750,0.8536,1.5849452018737793,630.9366398395124,1000
True,1.1,800,0.8633,1.6869852542877197,592.7734089307264,1000
True,1.1,900,0.8776,1.8783063888549805,532.3945049293061,1000
True,1.1,1000,0.8901,2.0666356086730957,483.8782394938313,1000
True,1.1,2000,0.9489,3.8734443187713623,258.1681619002065,1000
True,1.1,3000,0.9715,5.587737083435059,178.96332362603763,1000
True,1.1,4000,0.9812,7.283220529556274,137.30189768960963,1000
