enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,100,0.8826,0.35614633560180664,2807.8345894257945,1000
False,120,0.8925,0.4149775505065918,2409.7689110633355,1000
False,140,0.898,0.46944165229797363,2130.1901846691258,1000
False,160,0.9056,0.5281631946563721,1893.3541945318802,1000
False,180,0.909,0.5818798542022705,1718.5678328234137,1000
False,200,0.9108,0.6414434909820557,1558.983782763141,1000
False,220,0.9144,0.6965897083282471,1435.5652804574308,1000
False,240,0.9158,0.7465448379516602,1339.504272434272,1000
False,260,0.9179,0.8102507591247559,1234.1858230163386,1000
False,280,0.922,0.8683798313140869,1151.569813046829,1000
False,300,0.9246,0.919581413269043,1087.4512963948184,1000
False,320,0.9264,0.9829819202423096,1017.3127088171626,1000
False,340,0.9281,1.03590726852417,965.3373717752496,1000
False,360,0.9287,1.0986154079437256,910.2366422037502,1000
False,380,0.9316,1.1568512916564941,864.4153377467393,1000
False,400,0.932,1.220240831375122,819.5103575357933,1000
False,500,0.9394,1.507490873336792,663.3539331395923,1000
False,600,0.9443,1.8120722770690918,551.8543673199584,1000
False,700,0.9497,2.1170148849487305,472.3632351901096,1000
False,800,0.9522,2.4330949783325195,410.99916316679634,1000
False,900,0.9543,2.733579158782959,365.8207580296372,1000
False,1000,0.9574,3.011455535888672,332.06533786822223,1000
False,1200,0.962,3.6260948181152344,275.7787785923862,1000
False,1400,0.9656,4.240281581878662,235.83339471454363,1000
False,1600,0.9687,4.78645133972168,208.92304737357833,1000
False,1800,0.9704,5.401296615600586,185.14073030384893,1000
False,2000,0.973,6.062371730804443,164.95194362937977,1000
False,2500,0.9765,7.349150657653809,136.070145596831,1000
False,3000,0.9784,8.73652720451355,114.46195686123089,1000
False,3500,0.9791,10.134180784225464,98.67595825373152,1000
False,4000,0.9824,11.517705202102661,86.82285077216953,1000
