enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,100,0.877,0.36635923385620117,2729.561336490041,1000
True,0.8,120,0.8867,0.4280402660369873,2336.228806832835,1000
True,0.8,140,0.894,0.4974203109741211,2010.3722705686343,1000
True,0.8,160,0.9005,0.5605590343475342,1783.9334284638826,1000
True,0.8,180,0.9067,0.6275224685668945,1593.568437929803,1000
True,0.8,200,0.9093,0.6964931488037109,1435.7643025169582,1000
True,0.8,220,0.9132,0.7485582828521729,1335.9013224591924,1000
True,0.8,240,0.9155,0.8176932334899902,1222.9525194086634,1000
True,0.8,260,0.9188,0.8889734745025635,1124.892956518824,1000
True,0.8,280,0.9196,0.9587452411651611,1043.0299490036602,1000
True,0.8,300,0.9243,1.0258185863494873,974.8312355683024,1000
True,0.8,320,0.9253,1.0916059017181396,916.0815257832924,1000
True,0.8,340,0.9281,1.1579174995422363,863.6193860057678,1000
True,0.8,360,0.9297,1.2340631484985352,810.3313037235445,1000
True,0.8,380,0.9305,1.3240604400634766,755.2525320914045,1000
True,0.8,400,0.932,1.422429084777832,703.0227451769163,1000
True,0.8,500,0.9389,1.8655891418457031,536.0237029524408,1000
True,0.8,600,0.9445,2.269214391708374,440.68114659150905,1000
True,0.8,700,0.9496,2.7002005577087402,370.34286106827255,1000
True,0.8,800,0.9515,2.9568190574645996,338.20128339455295,1000
True,0.8,900,0.9556,3.3119876384735107,301.9334940697116,1000
True,0.8,1000,0.9561,3.7103769779205322,269.51439326805183,1000
True,0.8,1200,0.9626,4.537411212921143,220.38998739023467,1000
True,0.8,1400,0.9658,5.234903573989868,191.02548611756635,1000
True,0.8,1600,0.9681,5.832916259765625,171.4408291608461,1000
True,0.8,1800,0.9709,6.555596590042114,152.54141804866242,1000
True,0.8,2000,0.9724,7.248098611831665,137.96721782559885,1000
True,0.8,2500,0.9764,9.157025814056396,109.20576400090087,1000
True,0.8,3000,0.9777,11.082345247268677,90.23360829211282,1000
True,0.8,3500,0.9792,12.714329719543457,78.65141317382067,1000
True,0.8,4000,0.9807,14.345844030380249,69.70659919920335,1000
True,0.9,100,0.7761,0.2119295597076416,4718.548943240893,1000
True,0.9,120,0.8074,0.2450087070465088,4081.487601214821,1000
True,0.9,140,0.8237,0.27906250953674316,3583.426529274917,1000
True,0.9,160,0.8383,0.3118741512298584,3206.421551951502,1000
True,0.9,180,0.8501,0.3458988666534424,2891.0184345932084,1000
True,0.9,200,0.8625,0.3816828727722168,2619.9760883606286,1000
True,0.9,220,0.8673,0.4141373634338379,2414.6577640531073,1000
True,0.9,240,0.8741,0.44942450523376465,2225.0678108436873,1000
True,0.9,260,0.8799,0.48357272148132324,2067.94129523417,1000
True,0.9,280,0.8843,0.5212297439575195,1918.5397832582257,1000
True,0.9,300,0.8858,0.5533366203308105,1807.2181801416887,1000
True,0.9,320,0.8883,0.6028187274932861,1658.8734795256298,1000
True,0.9,340,0.891,0.6439239978790283,1552.9783069024031,1000
True,0.9,360,0.8959,0.6849257946014404,1460.0121763291188,1000
True,0.9,380,0.8995,0.7250018119812012,1379.3068975473532,1000
True,0.9,400,0.9036,0.7432739734649658,1345.3989184341256,1000
True,0.9,500,0.9146,0.9322512149810791,1072.6722410549992,1000
True,0.9,600,0.9218,1.128481388092041,886.1466485421895,1000
True,0.9,700,0.9294,1.327164649963379,753.4860124759905,1000
True,0.9,800,0.9347,1.5302014350891113,653.5087322942976,1000
True,0.9,900,0.937,1.7096059322357178,584.9301181894364,1000
True,0.9,1000,0.9418,1.9173550605773926,521.5518088229626,1000
True,0.9,1200,0.9468,2.3416733741760254,427.0450401102051,1000
True,0.9,1400,0.9526,2.762779712677002,361.9543011017146,1000
True,0.9,1600,0.9549,3.230374813079834,309.5616013197557,1000
True,0.9,1800,0.9601,3.85870623588562,259.1542187638152,1000
True,0.9,2000,0.9626,4.213189125061035,237.349895842977,1000
True,0.9,2500,0.9689,5.273510694503784,189.62699763598297,1000
True,0.9,3000,0.9711,6.423304557800293,155.6831053239763,1000
True,0.9,3500,0.9738,7.525364637374878,132.88392631946093,1000
True,0.9,4000,0.9764,8.892863512039185,112.44971865880963,1000
True,1.0,100,0.5812,0.15786147117614746,6334.667937334528,1000
True,1.0,120,0.626,0.18144726753234863,5511.243093378184,1000
True,1.0,140,0.6613,0.20543885231018066,4867.628439094645,1000
True,1.0,160,0.6867,0.2276747226715088,4392.231110533993,1000
True,1.0,180,0.7071,0.25341224670410156,3946.139198109302,1000
True,1.0,200,0.7257,0.27676987648010254,3613.109969617274,1000
True,1.0,220,0.7392,0.2996692657470703,3337.0122141388683,1000
True,1.0,240,0.7559,0.32184600830078125,3107.075974872585,1000
True,1.0,260,0.7657,0.3453819751739502,2895.3450726441474,1000
True,1.0,280,0.7777,0.36772966384887695,2719.3889922651506,1000
True,1.0,300,0.7861,0.3904118537902832,2561.3976376269766,1000
True,1.0,320,0.7943,0.41350722312927246,2418.3374414414416,1000
True,1.0,340,0.8009,0.4366765022277832,2290.0247549348805,1000
True,1.0,360,0.8075,0.4605128765106201,2171.491940848995,1000
True,1.0,380,0.8154,0.48349428176879883,2068.276787765999,1000
True,1.0,400,0.8221,0.5066051483154297,1973.9238800182225,1000
True,1.0,500,0.8438,0.6226825714111328,1605.9546965218324,1000
True,1.0,600,0.8561,0.7515125274658203,1330.649807491707,1000
True,1.0,700,0.8675,0.8715028762817383,1147.4431435803103,1000
True,1.0,800,0.8734,0.9907219409942627,1009.364947541614,1000
True,1.0,900,0.8829,1.1073987483978271,903.0170942912745,1000
True,1.0,1000,0.8863,1.227156162261963,814.8922123788582,1000
True,1.0,1200,0.8983,1.4657933712005615,682.2243978228307,1000
True,1.0,1400,0.905,1.6970677375793457,589.2516709005231,1000
True,1.0,1600,0.9143,1.9497029781341553,512.8986369795615,1000
True,1.0,1800,0.9189,2.204735517501831,453.5691433560667,1000
