enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8703,1.0324344635009766,968.584481971871,1000
False,140,0.8887,1.1830191612243652,845.2948462517296,1000
False,160,0.9033,1.3235554695129395,755.5406804128837,1000
False,180,0.9157,1.4751193523406982,677.9112472582061,1000
False,200,0.9246,1.6220464706420898,616.505148341495,1000
False,220,0.9327,1.7621386051177979,567.492248961398,1000
False,240,0.9398,1.8864879608154297,530.0855456123624,1000
False,260,0.9464,2.0195765495300293,495.1533034153657,1000
False,280,0.9512,2.1559786796569824,463.82647910001623,1000
False,300,0.9555,2.296910047531128,435.3675064789179,1000
False,320,0.9589,2.423513412475586,412.62408322242936,1000
False,340,0.962,2.55656099319458,391.1504566728285,1000
False,360,0.9642,2.6856160163879395,372.35404983358916,1000
False,380,0.9674,2.8205106258392334,354.54573042158046,1000
False,400,0.9688,2.9321486949920654,341.0468240263327,1000
False,450,0.9743,3.2754383087158203,305.30265135479334,1000
False,500,0.9783,3.649901866912842,273.9799689041556,1000
False,550,0.981,3.9793472290039062,251.29749741650866,1000
False,600,0.983,4.274723768234253,233.93324439606232,1000
False,650,0.9844,4.612234592437744,216.81464373898237,1000
False,700,0.9859,4.794677972793579,208.5645804941011,1000
False,750,0.987,5.12383770942688,195.16621265349437,1000
False,800,0.9875,5.3404600620269775,187.2497852966714,1000
False,900,0.9892,5.912279844284058,169.1394904060219,1000
False,1000,0.9907,6.451561212539673,155.00124187868437,1000
False,1200,0.9925,7.726775169372559,129.42009804605243,1000
False,1400,0.9932,8.651916980743408,115.58132171467922,1000
False,1600,0.994,9.680747509002686,103.29780826016197,1000
False,1800,0.9947,10.722018241882324,93.26602300430736,1000
False,2000,0.9956,11.552808046340942,86.55904226823232,1000
False,3000,0.9971,16.4171621799469,60.91186704736777,1000
False,4000,0.9972,21.309237957000732,46.9280038083891,1000
