enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,120,0.8675,0.689277172088623,1450.7951815230379,1000
True,0.8,140,0.8861,0.7743561267852783,1291.3954773645003,1000
True,0.8,160,0.9019,0.8627967834472656,1159.0214743320496,1000
True,0.8,180,0.9123,0.9493386745452881,1053.3648599947512,1000
True,0.8,200,0.9247,1.0370490550994873,964.2745394566383,1000
True,0.8,220,0.9322,1.1196937561035156,893.1013453892566,1000
True,0.8,240,0.9392,1.2094130516052246,826.8473692033704,1000
True,0.8,260,0.9458,1.3016221523284912,768.2721120035374,1000
True,0.8,280,0.9508,1.3890948295593262,719.8932561841283,1000
True,0.8,300,0.9548,1.475374460220337,677.7940292193055,1000
True,0.8,320,0.9582,1.5587058067321777,641.5578845481414,1000
True,0.8,340,0.9616,1.649461269378662,606.2585515431299,1000
True,0.8,360,0.9637,1.7313833236694336,577.5728495990332,1000
True,0.8,380,0.9656,1.8183388710021973,549.9524956252181,1000
True,0.8,400,0.9682,1.902742624282837,525.5571548342805,1000
True,0.8,450,0.9738,2.1162214279174805,472.5403432778178,1000
True,0.8,500,0.978,2.3236427307128906,430.3587581612434,1000
True,0.8,550,0.9805,2.536865234375,394.18727745164085,1000
True,0.8,600,0.9831,2.740269422531128,364.9276205389766,1000
True,0.8,650,0.9844,2.927417039871216,341.598066274832,1000
True,0.8,700,0.9852,3.072796583175659,325.4364462246716,1000
True,0.8,750,0.9861,3.26290225982666,306.47562212087973,1000
True,0.8,800,0.9871,3.4495716094970703,289.89106857410474,1000
True,0.8,900,0.9893,3.8274736404418945,261.26894498600564,1000
True,0.8,1000,0.9907,4.1853485107421875,238.92872897761865,1000
True,0.8,1200,0.9924,4.896547794342041,204.22551601671276,1000
True,0.8,1400,0.9932,5.693181991577148,175.64869724513687,1000
True,0.8,1600,0.9939,6.870408773422241,145.5517470617526,1000
True,0.8,1800,0.9949,7.098932266235352,140.86625459948385,1000
True,0.8,2000,0.9958,7.75529670715332,128.9441317026106,1000
True,0.8,3000,0.9971,10.958059072494507,91.25703679678729,1000
True,0.8,4000,0.9975,13.987628936767578,71.49174492121547,1000
True,0.9,120,0.8452,0.5538737773895264,1805.465506442858,1000
True,0.9,140,0.8683,0.6286404132843018,1590.7345103308708,1000
True,0.9,160,0.8879,0.7018680572509766,1424.7692136278774,1000
True,0.9,180,0.9015,0.7688314914703369,1300.6751298487648,1000
True,0.9,200,0.9128,0.8405823707580566,1189.6514069146808,1000
True,0.9,220,0.9221,0.9165468215942383,1091.0517350991447,1000
True,0.9,240,0.9294,0.9816012382507324,1018.7436211694834,1000
True,0.9,260,0.9378,1.0520477294921875,950.5272165576457,1000
True,0.9,280,0.943,1.1197876930236816,893.0264247678704,1000
True,0.9,300,0.9475,1.2258491516113281,815.7610572928498,1000
True,0.9,320,0.9505,1.273066759109497,785.5047607240128,1000
True,0.9,340,0.9545,1.332442045211792,750.5016849277297,1000
True,0.9,360,0.9577,1.4007368087768555,713.9099891814902,1000
True,0.9,380,0.9613,1.4644758701324463,682.8381541783687,1000
True,0.9,400,0.9633,1.529423713684082,653.8410455211238,1000
True,0.9,450,0.9684,1.7100510597229004,584.7778604704597,1000
True,0.9,500,0.9719,1.8561148643493652,538.7597606199527,1000
True,0.9,550,0.9763,2.0164198875427246,495.92845526763415,1000
True,0.9,600,0.979,2.1789190769195557,458.9431569958756,1000
True,0.9,650,0.981,2.3350589275360107,428.2547169185212,1000
True,0.9,700,0.9827,2.496718406677246,400.52574504421125,1000
True,0.9,750,0.9837,2.6551899909973145,376.6208833984006,1000
True,0.9,800,0.985,2.803084373474121,356.74987505303227,1000
True,0.9,900,0.9872,3.083416223526001,324.3156056487446,1000
True,0.9,1000,0.9889,3.3910768032073975,294.8915810618519,1000
True,0.9,1200,0.9907,3.9670345783233643,252.07745994052868,1000
True,0.9,1400,0.9925,4.543697118759155,220.08509235164237,1000
True,0.9,1600,0.9949,5.120577335357666,195.2904788870162,1000
True,0.9,1800,0.9951,5.771903038024902,173.25308367310893,1000
True,0.9,2000,0.9957,6.234005689620972,160.4105048644574,1000
True,0.9,3000,0.9971,9.008225679397583,111.00965224340095,1000
True,0.9,4000,0.9975,11.292110443115234,88.55740519343725,1000
True,1.0,120,0.7926,0.5055804252624512,1977.9246783158019,1000
True,1.0,140,0.8206,0.5736510753631592,1743.2199518966013,1000
True,1.0,160,0.8426,0.6393454074859619,1564.0997624933389,1000
True,1.0,180,0.8624,0.7039978504180908,1420.4588826601093,1000
True,1.0,200,0.8796,0.7676894664764404,1302.6100313578927,1000
True,1.0,220,0.8919,0.8304905891418457,1204.1075637392955,1000
True,1.0,240,0.9024,0.8952345848083496,1117.025656704358,1000
True,1.0,260,0.912,0.9529027938842773,1049.4249848127135,1000
True,1.0,280,0.9195,1.01670241355896,983.5719741231918,1000
True,1.0,300,0.9248,1.0834784507751465,922.9532892736131,1000
True,1.0,320,0.9305,1.143359899520874,874.6152461871812,1000
True,1.0,340,0.9343,1.201777458190918,832.1008129952268,1000
True,1.0,360,0.9389,1.2657225131988525,790.0625844701982,1000
True,1.0,380,0.9436,1.3275694847106934,753.2562412113006,1000
True,1.0,400,0.9474,1.3838682174682617,722.6121587136851,1000
True,1.0,450,0.9551,1.5384681224822998,649.997218263133,1000
True,1.0,500,0.9613,1.6807975769042969,594.9556411437753,1000
True,1.0,550,0.9647,1.8288471698760986,546.792545857043,1000
True,1.0,600,0.9695,1.9675722122192383,508.2405584860812,1000
True,1.0,650,0.9721,2.146413803100586,465.893388570022,1000
True,1.0,700,0.9755,2.2840495109558105,437.81888054673914,1000
True,1.0,750,0.9779,2.412360668182373,414.5317129355554,1000
True,1.0,800,0.9789,2.556262254714966,391.19616860731855,1000
True,1.0,900,0.9817,2.8442158699035645,351.5907532130836,1000
True,1.0,1000,0.9843,3.1121702194213867,321.3191854865572,1000
True,1.0,1200,0.9876,3.6507155895233154,273.91890041222655,1000
True,1.0,1400,0.9905,4.235382318496704,236.10619415225247,1000
True,1.0,1600,0.9921,4.70774245262146,212.41603806154686,1000
True,1.0,1800,0.9928,5.174701929092407,193.2478457122245,1000
True,1.0,2000,0.9945,5.691053867340088,175.71437967558455,1000
True,1.0,3000,0.9964,8.126536130905151,123.05365827354265,1000
True,1.0,4000,0.9972,10.313640356063843,96.95897524796432,1000
True,1.1,120,0.7313,0.48867082595825195,2046.3673026501317,1000
True,1.1,140,0.7657,0.5516514778137207,1812.738731278584,1000
True,1.1,160,0.7926,0.6106376647949219,1637.632359831329,1000
True,1.1,180,0.8124,0.6748776435852051,1481.750076484416,1000
True,1.1,200,0.8334,0.7375071048736572,1355.9191408350034,1000
True,1.1,220,0.8444,0.8046760559082031,1242.7361205265927,1000
True,1.1,240,0.8594,0.8746178150177002,1143.356541370887,1000
