enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8393,0.3907182216644287,2559.3892082638968,1000
False,140,0.8524,0.44094324111938477,2267.8655816594123,1000
False,160,0.8626,0.49277353286743164,2029.3297697646942,1000
False,180,0.8701,0.5453982353210449,1833.5226174895063,1000
False,200,0.8778,0.5988502502441406,1669.8665477593402,1000
False,220,0.8846,0.6543929576873779,1528.1338043948333,1000
False,240,0.8921,0.708784818649292,1410.8654329048234,1000
False,260,0.8974,0.7581393718719482,1319.0186885174758,1000
False,280,0.9029,0.8110411167144775,1232.9831119425778,1000
False,300,0.9068,0.8566439151763916,1167.3461776636677,1000
False,320,0.9106,0.9004249572753906,1110.5867201037108,1000
False,340,0.9137,0.9503567218780518,1052.2364676117043,1000
False,360,0.9167,1.0054562091827393,994.5733994848227,1000
False,380,0.9188,1.0590391159057617,944.2521857606105,1000
False,400,0.9219,1.1144070625305176,897.3381752707758,1000
False,450,0.929,1.2375438213348389,808.0521939993854,1000
False,500,0.9338,1.3707993030548096,729.5013921961531,1000
False,550,0.9388,1.5013313293457031,666.0754894363066,1000
False,600,0.9424,1.6283862590789795,614.1049117950696,1000
False,650,0.9457,1.7546863555908203,569.9024197764905,1000
False,700,0.9486,1.8861274719238281,530.1868589931579,1000
False,750,0.9516,2.009544849395752,497.6251215794905,1000
False,800,0.9539,2.1484994888305664,465.44111608995655,1000
False,900,0.958,2.4481775760650635,408.4671021320652,1000
False,1000,0.962,2.705653429031372,369.59648610945766,1000
False,1200,0.968,3.169212579727173,315.53579157068936,1000
False,1400,0.9725,3.638549327850342,274.8348063734513,1000
False,1600,0.9773,4.116281509399414,242.9377091232774,1000
False,1800,0.9807,4.595003843307495,217.6276743394838,1000
False,2000,0.9844,5.056524276733398,197.76430316003885,1000
False,3000,0.9903,7.422796010971069,134.7201241313888,1000
False,4000,0.9931,9.912269353866577,100.88507124858548,1000
