enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,120,0.8394,0.3661942481994629,2730.791116782666,1000
True,0.8,140,0.8532,0.41723203659057617,2396.7478819975795,1000
True,0.8,160,0.8625,0.4661567211151123,2145.201291119132,1000
True,0.8,180,0.8711,0.5111091136932373,1956.5293852306265,1000
True,0.8,200,0.8781,0.5639147758483887,1773.3176054760002,1000
True,0.8,220,0.8857,0.6109828948974609,1636.7070311646391,1000
True,0.8,240,0.8924,0.6585080623626709,1518.5842925173688,1000
True,0.8,260,0.8974,0.7080802917480469,1412.2692181296095,1000
True,0.8,280,0.9014,0.7538809776306152,1326.4693362378187,1000
True,0.8,300,0.9051,0.7944743633270264,1258.693856164587,1000
True,0.8,320,0.9091,0.843571662902832,1185.4357418300174,1000
True,0.8,340,0.9122,0.8888969421386719,1124.9898076980846,1000
True,0.8,360,0.9154,0.9336411952972412,1071.0752749953715,1000
True,0.8,380,0.9181,0.9818177223205566,1018.5189951923754,1000
True,0.8,400,0.9222,1.022681474685669,977.8215649279847,1000
True,0.8,450,0.9291,1.1376698017120361,878.9896668568841,1000
True,0.8,500,0.9344,1.2547285556793213,796.9851291529673,1000
True,0.8,550,0.9383,1.3657286167144775,732.2098898430437,1000
True,0.8,600,0.9424,1.4831523895263672,674.2395502051829,1000
True,0.8,650,0.9461,1.6427931785583496,608.7193525344197,1000
True,0.8,700,0.9485,1.7368249893188477,575.7632496940192,1000
True,0.8,750,0.9514,1.8395259380340576,543.6183199834204,1000
True,0.8,800,0.9544,1.9467554092407227,513.6752132565138,1000
True,0.8,900,0.958,2.1664772033691406,461.5788241135776,1000
True,0.8,1000,0.9616,2.388751983642578,418.6286424240295,1000
True,0.8,1200,0.9679,2.844614267349243,351.5415117888202,1000
True,0.8,1400,0.9724,3.2932345867156982,303.6528293592615,1000
True,0.8,1600,0.9769,3.7578773498535156,266.1076738012699,1000
True,0.8,1800,0.9806,4.221486806869507,236.88336497291147,1000
True,0.8,2000,0.9838,4.686291456222534,213.3883496879358,1000
True,0.8,3000,0.9901,6.92873477935791,144.3264942077449,1000
True,0.8,4000,0.9932,9.091387748718262,109.99420854544277,1000
True,0.9,120,0.8325,0.3073759078979492,3253.345412913775,1000
True,0.9,140,0.8491,0.3469524383544922,2882.239435303431,1000
True,0.9,160,0.8589,0.3865852355957031,2586.751660236232,1000
True,0.9,180,0.8694,0.42626500129699707,2345.958492856084,1000
True,0.9,200,0.8774,0.470386266708374,2125.9124059843593,1000
True,0.9,220,0.8844,0.5082173347473145,1967.6621233260369,1000
True,0.9,240,0.89,0.5466811656951904,1829.2197769944094,1000
True,0.9,260,0.8935,0.5881500244140625,1700.2464651705798,1000
True,0.9,280,0.8988,0.6245405673980713,1601.17701267373,1000
True,0.9,300,0.9022,0.6648404598236084,1504.1202520456022,1000
True,0.9,320,0.9058,0.7062015533447266,1416.026338746749,1000
True,0.9,340,0.9097,0.7430636882781982,1345.7796630019236,1000
True,0.9,360,0.9139,0.7847013473510742,1274.370183478991,1000
True,0.9,380,0.9174,0.8229894638061523,1215.0823843785452,1000
True,0.9,400,0.9203,0.861504316329956,1160.7602899310375,1000
True,0.9,450,0.9262,0.9573185443878174,1044.5843819305478,1000
True,0.9,500,0.9327,1.0543951988220215,948.4109953433094,1000
True,0.9,550,0.9371,1.1495261192321777,869.9236870476217,1000
True,0.9,600,0.9408,1.2503471374511719,799.7778937123785,1000
True,0.9,650,0.9452,1.3805065155029297,724.371807572159,1000
True,0.9,700,0.9489,1.4694018363952637,680.5490337845227,1000
True,0.9,750,0.9516,1.5566413402557373,642.4087386987372,1000
True,0.9,800,0.954,1.65696120262146,603.514432575676,1000
True,0.9,900,0.9583,1.8629906177520752,536.7713559430705,1000
True,0.9,1000,0.9623,2.068427562713623,483.4590381729754,1000
True,0.9,1200,0.9678,2.444821834564209,409.02776057636555,1000
True,0.9,1400,0.9729,2.796816349029541,357.54939731634045,1000
True,0.9,1600,0.9773,3.1888113021850586,313.5964800785714,1000
True,0.9,1800,0.9805,3.5832650661468506,279.07508418720414,1000
True,0.9,2000,0.9827,3.9432287216186523,253.5992889576821,1000
True,0.9,3000,0.9905,5.833693742752075,171.4179804591944,1000
True,0.9,4000,0.9929,7.721130609512329,129.5147110667981,1000
True,1.0,120,0.8197,0.2740356922149658,3649.159683971223,1000
True,1.0,140,0.8373,0.3083517551422119,3243.049482688366,1000
True,1.0,160,0.8506,0.3458237648010254,2891.646271260057,1000
True,1.0,180,0.8593,0.3803832530975342,2628.9275141763133,1000
True,1.0,200,0.8694,0.4189567565917969,2386.8811858650424,1000
True,1.0,220,0.8763,0.4526550769805908,2209.1876372412335,1000
True,1.0,240,0.8843,0.48807668685913086,2048.8583596057333,1000
True,1.0,260,0.8892,0.5220770835876465,1915.4259618677931,1000
True,1.0,280,0.8942,0.5565340518951416,1796.8352459202501,1000
True,1.0,300,0.8988,0.5924694538116455,1687.850729799674,1000
True,1.0,320,0.9028,0.627509355545044,1593.6017386249437,1000
