enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,100,0.8826,0.34622812271118164,2888.2691335682894,1000
False,120,0.8925,0.4020416736602783,2487.304340606718,1000
False,140,0.898,0.45877647399902344,2179.710723357904,1000
False,160,0.9056,0.515080451965332,1941.4442854206898,1000
False,180,0.909,0.5694229602813721,1756.1638180270506,1000
False,200,0.9108,0.623673677444458,1603.4026064681175,1000
False,220,0.9144,0.6752307415008545,1480.9752260053676,1000
False,240,0.9158,0.7295153141021729,1370.773143029516,1000
False,260,0.9179,0.7997186183929443,1250.4398134552955,1000
False,280,0.922,0.8919744491577148,1121.108346706896,1000
False,300,0.9246,0.9193212985992432,1087.7589821139636,1000
False,320,0.9264,0.9888832569122314,1011.2417143379294,1000
False,340,0.9281,1.0522732734680176,950.3234808048118,1000
False,360,0.9287,1.112779140472412,898.6509214896555,1000
False,380,0.9316,1.1447937488555908,873.5197942857952,1000
False,400,0.932,1.1910898685455322,839.5672118520523,1000
False,500,0.9394,1.4815516471862793,674.9680322648026,1000
False,600,0.9443,1.7682673931121826,565.5253294242914,1000
False,700,0.9497,2.0442306995391846,489.18157829516133,1000
False,800,0.9522,2.3354885578155518,428.1759363168656,1000
False,900,0.9543,2.614424228668213,382.49339530845754,1000
False,1000,0.9574,2.8960063457489014,345.3031107711202,1000
False,1200,0.962,3.470067262649536,288.1788519673995,1000
False,1400,0.9656,4.008668422698975,249.4593951291974,1000
False,1600,0.9687,4.591018915176392,217.8165715445716,1000
False,1800,0.9704,5.1710364818573,193.3848278789993,1000
False,2000,0.973,5.728963851928711,174.55163374147324,1000
False,2500,0.9765,7.06449556350708,141.55292349048665,1000
False,3000,0.9784,8.420740365982056,118.7544035961233,1000
False,3500,0.9791,9.897097110748291,101.03972799397872,1000
False,4000,0.9824,10.995114088058472,90.94948829008294,1000
False,4500,0.9815,12.463562726974487,80.23388030420324,1000
False,5000,0.9824,13.970561742782593,71.57908310427213,1000
False,5500,0.9835,14.788393259048462,67.62059829509454,1000
False,6000,0.9842,16.032692909240723,62.37255373510164,1000
