enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,100,0.8842,0.3672957420349121,2722.6016682353707,1000
True,0.8,120,0.8917,0.4269552230834961,2342.1659835378996,1000
True,0.8,140,0.8987,0.4975762367248535,2009.742279056975,1000
True,0.8,160,0.9035,0.5595254898071289,1787.2286753990506,1000
True,0.8,180,0.907,0.6244335174560547,1601.451510921459,1000
True,0.8,200,0.9109,0.6940407752990723,1440.8375351852858,1000
True,0.8,220,0.9143,0.7840971946716309,1275.352095117221,1000
True,0.8,240,0.9154,0.8265318870544434,1209.874677144949,1000
True,0.8,260,0.9205,0.9016444683074951,1109.0846061276582,1000
True,0.8,280,0.9213,0.9689624309539795,1032.031756912869,1000
True,0.8,300,0.9245,1.0379226207733154,963.4629595556355,1000
True,0.8,320,0.9262,1.107574462890625,902.8738324194749,1000
True,0.8,340,0.9283,1.175847053527832,850.4507427218128,1000
True,0.8,360,0.9299,1.246903657913208,801.9865798401612,1000
True,0.8,380,0.9308,1.3195703029632568,757.8224500463351,1000
True,0.8,400,0.9339,1.3846192359924316,722.2202133305232,1000
True,0.8,500,0.9393,1.7424366474151611,573.9089575988098,1000
True,0.8,600,0.9445,2.1318087577819824,469.08522931505325,1000
True,0.8,700,0.9491,2.503110408782959,399.50295300246523,1000
True,0.8,800,0.9517,2.8885045051574707,346.1999100968976,1000
True,0.8,900,0.9535,3.2679781913757324,305.9995940728804,1000
True,0.8,1000,0.9586,3.61666202545166,276.4980506784061,1000
True,0.8,1200,0.9624,4.43165397644043,225.64938628245855,1000
True,0.8,1400,0.9654,5.201909065246582,192.2371166925806,1000
True,0.8,1600,0.9667,6.092342376708984,164.1404796655878,1000
True,0.8,1800,0.971,6.808757066726685,146.8696841728781,1000
True,0.8,2000,0.9721,7.531585216522217,132.77417319879436,1000
True,0.8,2500,0.9766,9.402637958526611,106.35313243058222,1000
True,0.8,3000,0.9783,11.192363500595093,89.34663352801492,1000
True,0.8,3500,0.9795,13.218194484710693,75.65329751780294,1000
True,0.8,4000,0.9812,15.116758584976196,66.15174770296662,1000
True,0.8,4500,0.9828,17.01609182357788,58.76790101792807,1000
True,0.8,5000,0.9828,18.77839684486389,53.252682231684304,1000
True,0.8,5500,0.9829,20.45864462852478,48.87909332007921,1000
True,0.8,6000,0.9844,21.831002473831177,45.806416869710866,1000
True,0.9,100,0.881,0.25559401512145996,3912.4546774884125,1000
True,0.9,120,0.8918,0.29285669326782227,3414.6393884379604,1000
True,0.9,140,0.8956,0.3342149257659912,2992.086597293906,1000
True,0.9,160,0.8995,0.37215662002563477,2687.040740887851,1000
True,0.9,180,0.9051,0.412600040435791,2423.6546340223163,1000
True,0.9,200,0.9084,0.4550473690032959,2197.5734134895242,1000
True,0.9,220,0.9117,0.49518322944641113,2019.4544979197851,1000
True,0.9,240,0.9141,0.5389375686645508,1855.5024888651376,1000
True,0.9,260,0.9177,0.588759183883667,1698.4873058007197,1000
True,0.9,280,0.9208,0.6297712326049805,1587.8781821513319,1000
True,0.9,300,0.9229,0.6733150482177734,1485.1888468064735,1000
True,0.9,320,0.9266,0.7279117107391357,1373.7929823722448,1000
True,0.9,340,0.9272,0.7736477851867676,1292.5778618478025,1000
True,0.9,360,0.9282,0.8217110633850098,1216.972783450834,1000
True,0.9,380,0.9303,0.8643577098846436,1156.9284204492826,1000
True,0.9,400,0.9311,0.9010944366455078,1109.7615958241697,1000
True,0.9,500,0.939,1.1196482181549072,893.1376693010969,1000
True,0.9,600,0.9435,1.35341215133667,738.8732242520288,1000
