enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8703,1.0175514221191406,982.7513168006898,1000
False,140,0.8887,1.1625597476959229,860.1708445367217,1000
False,160,0.9033,1.3161070346832275,759.8166210248158,1000
False,180,0.9157,1.4717066287994385,679.4832478370784,1000
False,200,0.9246,1.6062572002410889,622.5653026488575,1000
False,220,0.9327,1.7377946376800537,575.4419874001882,1000
False,240,0.9398,1.8693771362304688,534.9375364761676,1000
False,260,0.9464,1.9926187992095947,501.85213569031197,1000
False,280,0.9512,2.118211030960083,472.09649340120194,1000
False,300,0.9555,2.2535290718078613,443.7484355139756,1000
False,320,0.9589,2.377692222595215,420.5758804680428,1000
False,340,0.962,2.5036168098449707,399.4221464194124,1000
False,360,0.9642,2.634996175765991,379.50719215343867,1000
False,380,0.9674,2.768423080444336,361.21646545422476,1000
False,400,0.9688,2.8756158351898193,347.7515973318425,1000
False,450,0.9743,3.177715301513672,314.6915016344165,1000
False,500,0.9783,3.5149383544921875,284.5000108528141,1000
False,550,0.981,4.082786798477173,244.93074200518802,1000
False,600,0.983,4.154444932937622,240.7060428390121,1000
False,650,0.9844,4.530946731567383,220.70442652369732,1000
False,700,0.9859,4.7476911544799805,210.62869665740317,1000
False,750,0.987,5.143376111984253,194.4248249063419,1000
False,800,0.9875,5.440266847610474,183.81451278244367,1000
False,900,0.9892,6.017322778701782,166.18686362305243,1000
False,1000,0.9907,6.5666258335113525,152.28521090644705,1000
False,2000,0.9956,11.70331358909607,85.44588610628156,1000
False,3000,0.9971,16.372143983840942,61.0793553359282,1000
False,4000,0.9972,20.412904977798462,48.98861779289242,1000
