enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8703,1.0491468906402588,953.1553769269943,1000
False,140,0.8887,1.2026190757751465,831.5184917181289,1000
False,160,0.9033,1.3620107173919678,734.2086132147622,1000
False,180,0.9157,1.5031535625457764,665.2680237848596,1000
False,200,0.9246,1.6420903205871582,608.9799004737038,1000
False,220,0.9327,1.787653923034668,559.3923897207295,1000
False,240,0.9398,1.9273247718811035,518.8539132530228,1000
False,260,0.9464,2.0708398818969727,482.8958572518701,1000
False,280,0.9512,2.20434832572937,453.6488123623212,1000
False,300,0.9555,2.3411152362823486,427.1468505702364,1000
False,320,0.9589,2.4624879360198975,406.09336004150873,1000
False,340,0.962,2.6077980995178223,383.4652691038077,1000
False,360,0.9642,2.7380197048187256,365.22746649341826,1000
False,380,0.9674,2.8697385787963867,348.46379645473337,1000
False,400,0.9688,2.9935688972473145,334.04943541454253,1000
False,450,0.9743,3.328350305557251,300.4491439288493,1000
False,500,0.9783,3.635145902633667,275.0921219628348,1000
False,550,0.981,3.9342615604400635,254.17730484806552,1000
False,600,0.983,4.250556230545044,235.2633269062226,1000
False,650,0.9844,4.56470513343811,219.0722008908395,1000
False,700,0.9859,4.965332269668579,201.39639115566118,1000
False,750,0.987,5.206234693527222,192.07739544344292,1000
False,800,0.9875,5.441560745239258,183.7708052556218,1000
False,900,0.9892,6.021579742431641,166.06937760093152,1000
False,1000,0.9907,6.565283536911011,152.31634618335212,1000
False,1200,0.9925,7.662579536437988,130.5043549949053,1000
False,1400,0.9932,8.726775407791138,114.58986318213421,1000
False,1600,0.994,9.777801275253296,102.27248149652078,1000
False,1800,0.9947,10.914153814315796,91.62414393393718,1000
False,2000,0.9956,11.722778797149658,85.30400661003222,1000
False,3000,0.9971,16.373138427734375,61.075645601707315,1000
False,4000,0.9972,20.75113534927368,48.19013433089103,1000
