enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,100,120,0.9089,0.8773341178894043,1139.8166098973695,1000
True,0.8,100,140,0.9214,0.9537053108215332,1048.5419223875224,1000
True,0.8,100,160,0.9304,1.0482308864593506,953.9882986826864,1000
True,0.8,100,180,0.9372,1.0934748649597168,914.5157625885068,1000
True,0.8,100,200,0.9444,1.1522119045257568,867.8959105283622,1000
True,0.8,100,220,0.9488,1.2048516273498535,829.9777145170667,1000
True,0.8,100,240,0.9535,1.262727975845337,791.9362040985487,1000
True,0.8,100,260,0.9567,1.3106229305267334,762.9959591795823,1000
True,0.8,100,280,0.9612,1.3575472831726074,736.6225931099694,1000
True,0.8,100,300,0.9641,1.4060089588165283,711.2330214750012,1000
True,0.8,100,320,0.9662,1.4614615440368652,684.2465366812108,1000
True,0.8,100,340,0.9686,1.5165064334869385,659.4103248877598,1000
True,0.8,100,360,0.9704,1.558197021484375,641.7673671634775,1000
True,0.8,100,380,0.9714,1.6014442443847656,624.4363508166809,1000
True,0.8,100,400,0.9728,1.651139736175537,605.6422591562458,1000
True,0.8,100,450,0.975,1.7695906162261963,565.1024541103104,1000
True,0.8,100,500,0.9773,1.8864319324493408,530.1012895289581,1000
True,0.8,100,550,0.9798,2.0028927326202393,499.27786132199526,1000
True,0.8,100,600,0.9816,2.1201982498168945,471.6540069242876,1000
True,0.8,100,650,0.9826,2.228360414505005,448.76043995878206,1000
True,0.8,100,700,0.9842,2.33992338180542,427.3644204659504,1000
True,0.8,100,750,0.9852,2.4484312534332275,408.4247816220222,1000
True,0.8,100,800,0.986,2.5489368438720703,392.3204305371912,1000
True,0.8,100,900,0.9873,2.7739784717559814,360.4930644494082,1000
True,0.8,100,1000,0.988,2.984171152114868,335.10142315104974,1000
True,0.8,100,1200,0.9895,3.3872082233428955,295.22838103323994,1000
True,0.8,100,1400,0.9905,3.820456027984619,261.7488573811759,1000
True,0.8,100,1600,0.9909,4.198298931121826,238.19170964388434,1000
True,0.8,100,1800,0.9915,4.557661771774292,219.41075272259644,1000
True,0.8,100,2000,0.992,4.959244966506958,201.64359832064306,1000
True,0.8,100,3000,0.9928,6.750112056732178,148.14568878195982,1000
True,0.8,100,4000,0.9934,8.375324487686157,119.39835900928408,1000
True,0.8,200,120,0.9104,0.9043772220611572,1105.733288727584,1000
True,0.8,200,140,0.9255,1.0381124019622803,963.2868253088599,1000
True,0.8,200,160,0.9365,1.1738371849060059,851.9069023018506,1000
True,0.8,200,180,0.9469,1.3088443279266357,764.0328025748626,1000
True,0.8,200,200,0.9552,1.4413299560546875,693.8036608475635,1000
True,0.8,200,220,0.9613,1.5389385223388672,649.7985367733908,1000
True,0.8,200,240,0.9663,1.6229453086853027,616.1637084431815,1000
True,0.8,200,260,0.9692,1.69234037399292,590.8976795492936,1000
True,0.8,200,280,0.9727,1.7634775638580322,567.0613681141817,1000
True,0.8,200,300,0.9747,1.8277952671051025,547.1072269400387,1000
True,0.8,200,320,0.9764,1.8809611797332764,531.64308268276,1000
True,0.8,200,340,0.9778,1.939253330230713,515.662386347961,1000
True,0.8,200,360,0.9789,1.9853582382202148,503.687435722661,1000
True,0.8,200,380,0.9797,2.04026460647583,490.13250380660685,1000
True,0.8,200,400,0.9803,2.0999755859375,476.19601232343194,1000
True,0.8,200,450,0.9828,2.2227392196655273,449.89533236853475,1000
True,0.8,200,500,0.9848,2.352195978164673,425.1346440870378,1000
True,0.8,200,550,0.9864,2.471895694732666,404.5478141051374,1000
True,0.8,200,600,0.9877,2.598151922225952,384.88896336102454,1000
True,0.8,200,650,0.9889,2.696488857269287,370.85263575414587,1000
True,0.8,200,700,0.9894,2.815138578414917,355.2222997714936,1000
True,0.8,200,750,0.9903,2.926867723464966,341.66217761838317,1000
True,0.8,200,800,0.9907,3.073759078979492,325.3345412913775,1000
True,0.8,200,900,0.9911,3.2736713886260986,305.4674343534774,1000
True,0.8,200,1000,0.9921,3.4628207683563232,288.78191130714055,1000
True,0.8,200,1200,0.993,3.8567843437194824,259.28335910936624,1000
True,0.8,200,1400,0.9939,4.251493215560913,235.21147730870055,1000
True,0.8,200,1600,0.9946,4.628601551055908,216.0479766878774,1000
True,0.8,200,1800,0.995,4.999798059463501,200.008077947713,1000
True,0.8,200,2000,0.9948,5.364204406738281,186.42093480700387,1000
True,0.8,200,3000,0.9957,7.119696855545044,140.45541829792495,1000
True,0.8,200,4000,0.9964,8.77450442314148,113.96655033447193,1000
True,0.8,400,120,0.9104,0.9052472114562988,1104.6706218418165,1000
True,0.8,400,140,0.9255,1.04081130027771,960.7889535146086,1000
True,0.8,400,160,0.9365,1.1749029159545898,851.1341545080054,1000
True,0.8,400,180,0.9469,1.3048019409179688,766.3998409570643,1000
True,0.8,400,200,0.9552,1.4441661834716797,692.4410856900598,1000
True,0.8,400,220,0.9617,1.5835731029510498,631.4833196752719,1000
True,0.8,400,240,0.9676,1.7250819206237793,579.6826156745101,1000
True,0.8,400,260,0.9716,1.857379674911499,538.3928840761372,1000
True,0.8,400,280,0.9746,2.0182158946990967,495.4871293138308,1000
True,0.8,400,300,0.9779,2.151149034500122,464.8678375891223,1000
True,0.8,400,320,0.98,2.2779862880706787,438.9842051450369,1000
True,0.8,400,340,0.9816,2.4046196937561035,415.86617734048565,1000
True,0.8,400,360,0.9833,2.508507490158081,398.64341801785173,1000
True,0.8,400,380,0.9849,2.646292209625244,377.88721758041055,1000
True,0.8,400,400,0.9862,2.7749366760253906,360.36858377335096,1000
True,0.8,400,450,0.9886,3.020876884460449,331.0297103281676,1000
True,0.8,400,500,0.9898,3.2159430980682373,310.9507754041678,1000
True,0.8,400,550,0.9912,3.3315367698669434,300.1617779052574,1000
True,0.8,400,600,0.9917,3.4539499282836914,289.52359494594987,1000
True,0.8,400,650,0.9924,3.5745160579681396,279.75815013359585,1000
True,0.8,400,700,0.9925,3.6913604736328125,270.90283030956897,1000
True,0.8,400,750,0.9932,3.803501605987549,262.9156244934352,1000
True,0.8,400,800,0.9932,3.918972969055176,255.168894477241,1000
True,0.8,400,900,0.994,4.142739295959473,241.3861767684313,1000
True,0.8,400,1000,0.9946,4.389633655548096,227.80944344548922,1000
True,0.8,400,1200,0.9953,4.766274929046631,209.8074523367925,1000
True,0.8,400,1400,0.996,5.183729410171509,192.91130398083683,1000
True,0.8,400,1600,0.9957,5.555066108703613,180.01585947522958,1000
True,0.8,400,1800,0.9962,5.904415607452393,169.36477146659988,1000
True,0.8,400,2000,0.9963,6.247338533401489,160.0681625709068,1000
True,0.8,400,3000,0.9971,7.9573118686676025,125.67058027944846,1000
True,0.8,400,4000,0.9973,9.56037950515747,104.59835819912139,1000
True,0.8,800,120,0.9104,0.9026792049407959,1107.8132680209324,1000
True,0.8,800,140,0.9255,1.0381669998168945,963.2361654496567,1000
True,0.8,800,160,0.9365,1.1732447147369385,852.3371019184324,1000
True,0.8,800,180,0.9469,1.3064906597137451,765.409222457895,1000
True,0.8,800,200,0.9552,1.4405295848846436,694.1891443903106,1000
True,0.8,800,220,0.9617,1.575808048248291,634.5950581427895,1000
True,0.8,800,240,0.9676,1.7103230953216553,584.6848485735574,1000
True,0.8,800,260,0.9716,1.850780725479126,540.3125212151333,1000
True,0.8,800,280,0.9746,1.9776628017425537,505.6473728073776,1000
True,0.8,800,300,0.9779,2.116065740585327,472.57510994123885,1000
True,0.8,800,320,0.98,2.2546749114990234,443.5229198231282,1000
True,0.8,800,340,0.9816,2.377880334854126,420.54260903812315,1000
True,0.8,800,360,0.9833,2.538912057876587,393.869491027723,1000
True,0.8,800,380,0.9849,2.67033052444458,374.4854769272417,1000
True,0.8,800,400,0.9862,2.7993321418762207,357.22806345150644,1000
True,0.8,800,450,0.989,3.1043319702148438,322.13049686525386,1000
True,0.8,800,500,0.9905,3.411001682281494,293.16901401559454,1000
True,0.8,800,550,0.9924,3.7342729568481445,267.7897442301686,1000
True,0.8,800,600,0.993,4.034427881240845,247.8666193662225,1000
True,0.8,800,650,0.9938,4.348330974578857,229.97329454592668,1000
True,0.8,800,700,0.9936,4.659445285797119,214.6178222219266,1000
True,0.8,800,750,0.9952,4.970306873321533,201.19482065937805,1000
True,0.8,800,800,0.9954,5.2618327140808105,190.04785106983203,1000
True,0.8,800,900,0.9959,5.644922971725464,177.150335798884,1000
True,0.8,800,1000,0.9961,5.916544198989868,169.01758296181242,1000
True,0.8,800,1200,0.9962,6.39556884765625,156.3582573841676,1000
True,0.8,800,1400,0.9969,6.883011341094971,145.2852465939591,1000
True,0.8,800,1600,0.9966,7.2312445640563965,138.28878157027037,1000
True,0.8,800,1800,0.9969,7.607908010482788,131.4421781417598,1000
True,0.8,800,2000,0.9972,7.971951246261597,125.43980377061946,1000
True,0.8,800,3000,0.9972,9.638847351074219,103.74684478103632,1000
True,0.8,800,4000,0.9977,11.194260358810425,89.33149381441281,1000
True,0.8,1600,120,0.9104,0.9071557521820068,1102.3465348642417,1000
True,0.8,1600,140,0.9255,1.039431095123291,962.0647339604421,1000
True,0.8,1600,160,0.9365,1.1726925373077393,852.738435852755,1000
True,0.8,1600,180,0.9469,1.3071119785308838,765.045395057844,1000
True,0.8,1600,200,0.9552,1.4364192485809326,696.1755775606043,1000
True,0.8,1600,220,0.9617,1.571394443511963,636.377457059773,1000
True,0.8,1600,240,0.9676,1.712463140487671,583.9541747539294,1000
True,0.8,1600,260,0.9716,1.8554182052612305,538.9620502614432,1000
True,0.8,1600,280,0.9746,2.036588191986084,491.01728269611465,1000
True,0.8,1600,300,0.9779,2.1729228496551514,460.2096204928319,1000
True,0.8,1600,320,0.98,2.294020652770996,435.9158662290502,1000
True,0.8,1600,340,0.9816,2.394322395324707,417.65469928053886,1000
True,0.8,1600,360,0.9833,2.5118985176086426,398.1052550451011,1000
True,0.8,1600,380,0.9849,2.653733015060425,376.8276591220049,1000
True,0.8,1600,400,0.9862,2.7965502738952637,357.5834160160183,1000
True,0.8,1600,450,0.989,3.0945677757263184,323.1469053106431,1000
True,0.8,1600,500,0.9905,3.4087729454040527,293.36069489411733,1000
True,0.8,1600,550,0.9924,3.722640037536621,268.6265633842291,1000
True,0.8,1600,600,0.993,4.032041549682617,248.01331724339875,1000
True,0.8,1600,650,0.9938,4.348921537399292,229.94206526844175,1000
True,0.8,1600,700,0.9936,4.646932601928711,215.19571847996025,1000
True,0.8,1600,750,0.9952,4.946370601654053,202.16843429920166,1000
True,0.8,1600,800,0.9954,5.262972831726074,190.00668100960618,1000
True,0.8,1600,900,0.9961,5.85393762588501,170.82518877177446,1000
True,0.8,1600,1000,0.996,6.5566534996032715,152.51682890677503,1000
True,0.8,1600,1200,0.9965,7.638508081436157,130.91561720413662,1000
True,0.8,1600,1400,0.9969,8.745844602584839,114.34001465158087,1000
True,0.8,1600,1600,0.9975,9.801081657409668,102.02955499753385,1000
True,0.8,1600,1800,0.9974,10.442546606063843,95.76208158068586,1000
True,0.8,1600,2000,0.9977,10.937879800796509,91.4253967141949,1000
True,0.8,1600,3000,0.9979,12.887153625488281,77.59665392846676,1000
True,0.8,1600,4000,0.9983,14.384510040283203,69.51922569483027,1000
True,0.9,100,120,0.7692,0.4572463035583496,2187.0051047277393,1000
True,0.9,100,140,0.8078,0.5184462070465088,1928.8404204880064,1000
True,0.9,100,160,0.8319,0.5814807415008545,1719.7474114429128,1000
True,0.9,100,180,0.8546,0.6426668167114258,1556.0162342239403,1000
True,0.9,100,200,0.8687,0.6974349021911621,1433.8255754884874,1000
True,0.9,100,220,0.88,0.7534685134887695,1327.1954728004769,1000
True,0.9,100,240,0.8898,0.8129940032958984,1230.0213727850075,1000
True,0.9,100,260,0.897,0.865729808807373,1155.0947995860247,1000
True,0.9,100,280,0.9033,0.9300615787506104,1075.197624380249,1000
True,0.9,100,300,0.9079,0.9865264892578125,1013.6575255595254,1000
True,0.9,100,320,0.9134,1.0365593433380127,964.730101008707,1000
True,0.9,100,340,0.918,1.0904443264007568,917.0573644054919,1000
True,0.9,100,360,0.9219,1.1424100399017334,875.3424471707347,1000
True,0.9,100,380,0.9251,1.1917493343353271,839.1026293777867,1000
True,0.9,100,400,0.9281,1.2259235382080078,815.71155853794,1000
True,0.9,100,450,0.9349,1.3521206378936768,739.5789783652681,1000
True,0.9,100,500,0.9388,1.4722404479980469,679.2368742210557,1000
True,0.9,100,550,0.9417,1.5950751304626465,626.9297169155619,1000
True,0.9,100,600,0.9443,1.715193271636963,583.0246751409013,1000
True,0.9,100,650,0.946,1.8293190002441406,546.6515134137568,1000
True,0.9,100,700,0.9477,1.9453480243682861,514.0468376216284,1000
True,0.9,100,750,0.9494,2.053201198577881,487.044328969141,1000
True,0.9,100,800,0.9504,2.1683216094970703,461.1861984034482,1000
True,0.9,100,900,0.953,2.3859241008758545,419.12481609658397,1000
