enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8393,0.39588403701782227,2525.9922262411937,1000
False,140,0.8524,0.46215343475341797,2163.783550658993,1000
False,160,0.8626,0.5114767551422119,1955.1230626736071,1000
False,180,0.8701,0.5641083717346191,1772.7090220714595,1000
False,200,0.8778,0.6315276622772217,1583.4619126486182,1000
False,220,0.8846,0.6776168346405029,1475.760265800556,1000
False,240,0.8921,0.7293813228607178,1371.0249613712133,1000
False,260,0.8974,0.7843818664550781,1274.8892379669392,1000
False,280,0.9029,0.8326840400695801,1200.935711361105,1000
False,300,0.9068,0.8854200839996338,1129.4074056721008,1000
False,320,0.9106,0.9331433773040771,1071.646677586757,1000
False,340,0.9137,0.9935081005096436,1006.5343196366756,1000
False,360,0.9167,1.0442800521850586,957.5975313399823,1000
False,380,0.9188,1.0975234508514404,911.1422623582363,1000
False,400,0.9219,1.180741310119629,846.9255639905435,1000
False,450,0.929,1.3282697200775146,752.859140643244,1000
False,500,0.9338,1.4459235668182373,691.599489038349,1000
False,550,0.9388,1.5858774185180664,630.565760205134,1000
False,600,0.9424,1.7601265907287598,568.140953762855,1000
False,650,0.9457,1.8246111869812012,548.061969111616,1000
False,700,0.9486,1.9580748081207275,510.70571760215597,1000
False,750,0.9516,2.0933516025543213,477.7028372967988,1000
False,800,0.9539,2.2100112438201904,452.48638566716784,1000
False,900,0.958,2.4879918098449707,401.9305835505588,1000
False,1000,0.962,2.717844247817993,367.93867080604224,1000
False,1200,0.968,3.2284975051879883,309.7416053111592,1000
False,1400,0.9725,3.734489679336548,267.77420367048796,1000
False,1600,0.9773,4.374080657958984,228.61946959766763,1000
False,1800,0.9807,4.891974449157715,204.41643969996142,1000
False,2000,0.9844,5.500934839248657,181.78728329321285,1000
False,3000,0.9903,8.119642496109009,123.15813171321363,1000
False,4000,0.9931,10.420007467269897,95.96922105296781,1000
