enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,100,120,0.9194,0.73030686378479,1369.2874181923125,1000
True,0.8,100,140,0.9255,0.780771017074585,1280.7852470585146,1000
True,0.8,100,160,0.929,0.8268840312957764,1209.359429076095,1000
True,0.8,100,180,0.9332,0.8688805103302002,1150.9062386725311,1000
True,0.8,100,200,0.9368,0.908785343170166,1100.3698590820632,1000
True,0.8,100,220,0.939,0.9457681179046631,1057.3416264184152,1000
True,0.8,100,240,0.9415,0.9819190502166748,1018.4138904111651,1000
True,0.8,100,260,0.944,1.0236375331878662,976.908297691808,1000
True,0.8,100,280,0.9459,1.0551328659057617,947.7479399161415,1000
True,0.8,100,300,0.9475,1.090505599975586,917.0058365792783,1000
True,0.8,100,320,0.9492,1.1237103939056396,889.9090062915019,1000
True,0.8,100,340,0.951,1.1549689769744873,865.8241216310086,1000
True,0.8,100,360,0.9528,1.176239013671875,850.1673455620995,1000
True,0.8,100,380,0.9539,1.20005202293396,833.2972078619887,1000
True,0.8,100,400,0.9549,1.2275574207305908,814.6258440642572,1000
True,0.8,100,450,0.9573,1.303990364074707,766.8768324906954,1000
True,0.8,100,500,0.9588,1.381324052810669,723.9430877680263,1000
True,0.8,100,550,0.9611,1.4549221992492676,687.3219753716005,1000
True,0.8,100,600,0.9636,1.5315265655517578,652.9432936344356,1000
True,0.8,100,650,0.9652,1.599287748336792,625.2783472142321,1000
True,0.8,100,700,0.9669,1.669996738433838,598.8035646930805,1000
True,0.8,100,750,0.9678,1.7420077323913574,574.0502647638887,1000
True,0.8,100,800,0.9691,1.8145651817321777,551.096213058273,1000
True,0.8,100,900,0.9712,1.9585485458374023,510.58218706161165,1000
True,0.8,100,1000,0.9723,2.0921413898468018,477.9791675902103,1000
True,0.8,100,1200,0.9758,2.366643190383911,422.5394026709123,1000
True,0.8,100,1400,0.9783,2.6481850147247314,377.61712057114187,1000
True,0.8,100,1600,0.9805,2.9592769145965576,337.92038692544304,1000
True,0.8,100,1800,0.9823,3.232471466064453,309.3608127707633,1000
True,0.8,100,2000,0.9837,3.495065689086914,286.11765527681683,1000
True,0.8,100,3000,0.9901,4.811603307723999,207.83093202939529,1000
True,0.8,100,4000,0.9923,6.12455940246582,163.2770513414219,1000
True,0.8,200,120,0.9221,0.7507765293121338,1331.954264628126,1000
True,0.8,200,140,0.9319,0.8685352802276611,1151.3637071114476,1000
True,0.8,200,160,0.9399,0.9875421524047852,1012.6150033847957,1000
True,0.8,200,180,0.9458,1.107208013534546,903.1726538969807,1000
True,0.8,200,200,0.9509,1.2171027660369873,821.6233073367367,1000
True,0.8,200,220,0.9561,1.3009815216064453,768.6504253843707,1000
True,0.8,200,240,0.9579,1.3575165271759033,736.6392820869302,1000
True,0.8,200,260,0.9599,1.410855770111084,708.7896730374252,1000
True,0.8,200,280,0.9612,1.464749813079834,682.7104472519885,1000
True,0.8,200,300,0.9626,1.507979393005371,663.1390353465117,1000
True,0.8,200,320,0.9644,1.544006109237671,647.6658311240326,1000
True,0.8,200,340,0.9657,1.5804738998413086,632.7216160294754,1000
True,0.8,200,360,0.9664,1.6241986751556396,615.6882253977793,1000
True,0.8,200,380,0.9676,1.6608376502990723,602.1058107756209,1000
True,0.8,200,400,0.9682,1.6945385932922363,590.1311448192802,1000
True,0.8,200,450,0.97,1.7912235260009766,558.2776161010822,1000
True,0.8,200,500,0.9714,1.870485782623291,534.6204762901405,1000
True,0.8,200,550,0.9723,1.9632525444030762,509.3588203162362,1000
True,0.8,200,600,0.9742,2.047224998474121,488.4660947112995,1000
True,0.8,200,650,0.9751,2.189695119857788,456.6845817626638,1000
True,0.8,200,700,0.976,2.2900888919830322,436.6642725095621,1000
True,0.8,200,750,0.9768,2.3976891040802,417.0682505493636,1000
True,0.8,200,800,0.9778,2.3846757411956787,419.34422476181146,1000
True,0.8,200,900,0.9794,2.540135622024536,393.67976706809895,1000
True,0.8,200,1000,0.9806,2.715883493423462,368.2043071514333,1000
True,0.8,200,1200,0.9825,2.99867844581604,333.4802374010018,1000
