enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,120,0.8675,0.6584246158599854,1518.776752740136,1000
True,0.8,140,0.8861,0.7473270893096924,1338.1021701270083,1000
True,0.8,160,0.9019,0.8323111534118652,1201.47374680819,1000
True,0.8,180,0.9123,0.9215948581695557,1085.0754983444356,1000
True,0.8,200,0.9247,1.0053417682647705,994.6866146086912,1000
True,0.8,220,0.9322,1.0897495746612549,917.6420190949345,1000
True,0.8,240,0.9392,1.174720287322998,851.2664766170353,1000
True,0.8,260,0.9458,1.2641170024871826,791.0660152758601,1000
True,0.8,280,0.9508,1.3501996994018555,740.631182515449,1000
True,0.8,300,0.9548,1.4601902961730957,684.8422446175856,1000
True,0.8,320,0.9582,1.5334200859069824,652.1370165883299,1000
True,0.8,340,0.9616,1.619053840637207,617.6446853715702,1000
True,0.8,360,0.9637,1.6986041069030762,588.7186990400118,1000
True,0.8,380,0.9656,1.7705535888671875,564.7951049252381,1000
True,0.8,400,0.9682,1.8456127643585205,541.8254681108959,1000
True,0.8,450,0.9738,2.051116704940796,487.53929875914315,1000
True,0.8,500,0.978,2.246817111968994,445.0740537237816,1000
True,0.8,550,0.9805,2.4531362056732178,407.6414500292977,1000
True,0.8,600,0.9831,2.641172409057617,378.6197359061481,1000
True,0.8,650,0.9844,2.8475351333618164,351.18091723749666,1000
True,0.8,700,0.9852,3.0278005599975586,330.2727442526156,1000
True,0.8,750,0.9861,3.2090282440185547,311.62081600993787,1000
True,0.8,800,0.9871,3.4082024097442627,293.40980369620587,1000
True,0.8,900,0.9893,3.790041923522949,263.8493241442755,1000
True,0.8,1000,0.9907,4.147396564483643,241.1151150973916,1000
True,0.8,2000,0.9958,7.623030424118042,131.18142580622018,1000
True,0.8,3000,0.9971,10.944486856460571,91.37020429694209,1000
True,0.8,4000,0.9975,14.023267030715942,71.31005904755607,1000
True,0.9,120,0.8452,0.5437698364257812,1839.0133711223043,1000
True,0.9,140,0.8683,0.6118719577789307,1634.3288612701874,1000
True,0.9,160,0.8879,0.6826293468475342,1464.9238340222587,1000
True,0.9,180,0.9015,0.7512409687042236,1331.1308110962689,1000
True,0.9,200,0.9128,0.8212625980377197,1217.6373335268715,1000
True,0.9,220,0.9221,0.8864288330078125,1128.122148968034,1000
True,0.9,240,0.9294,0.9619381427764893,1039.5678843897913,1000
True,0.9,260,0.9378,1.0291781425476074,971.6490845060308,1000
True,0.9,280,0.943,1.0992562770843506,909.7059719798768,1000
True,0.9,300,0.9475,1.1703741550445557,854.4276167495602,1000
True,0.9,320,0.9505,1.2325356006622314,811.3355910066274,1000
True,0.9,340,0.9545,1.3045015335083008,766.5763315054293,1000
True,0.9,360,0.9577,1.3669731616973877,731.5432577756592,1000
True,0.9,380,0.9613,1.435258388519287,696.7386555612958,1000
