enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,100,0.8842,0.3675556182861328,2720.6766819750396,1000
True,0.8,120,0.8917,0.43018269538879395,2324.5937382400098,1000
True,0.8,140,0.8987,0.497408390045166,2010.4204513100337,1000
True,0.8,160,0.9035,0.5601575374603271,1785.2120753991005,1000
True,0.8,180,0.907,0.626899003982544,1595.153276121404,1000
True,0.8,200,0.9109,0.6938014030456543,1441.3346464999825,1000
True,0.8,220,0.9143,0.7602460384368896,1315.36364471699,1000
True,0.8,240,0.9154,0.8271722793579102,1208.9379987156326,1000
True,0.8,260,0.9205,0.9011180400848389,1109.7325272789474,1000
True,0.8,280,0.9213,0.970587968826294,1030.303313165187,1000
True,0.8,300,0.9245,1.0378165245056152,963.5614546380152,1000
True,0.8,320,0.9262,1.1078157424926758,902.6771886721148,1000
True,0.8,340,0.9283,1.184011697769165,844.5862501900383,1000
True,0.8,360,0.9299,1.2544009685516357,797.1932620194212,1000
True,0.8,380,0.9308,1.3287897109985352,752.5645267440684,1000
True,0.8,400,0.9339,1.3976545333862305,715.4843891052283,1000
True,0.8,500,0.9393,1.7591159343719482,568.4673650330084,1000
True,0.8,600,0.9445,2.144289493560791,466.3549408803974,1000
True,0.8,700,0.9491,2.5216712951660156,396.56239174272093,1000
True,0.8,800,0.9517,2.9171271324157715,342.80302318256054,1000
True,0.8,900,0.9535,3.305563449859619,302.5202859265848,1000
True,0.8,1000,0.9586,3.6473896503448486,274.1686783876939,1000
True,0.8,1200,0.9624,4.482300043106079,223.09974575174456,1000
True,0.8,1400,0.9653,5.265890121459961,189.9014177915948,1000
True,0.8,1600,0.9667,6.100566864013672,163.91919346034052,1000
True,0.8,1800,0.971,7.058420896530151,141.6747477458577,1000
True,0.8,2000,0.972,7.578955173492432,131.94430856347097,1000
True,0.8,2500,0.9766,9.531493663787842,104.91535065476792,1000
True,0.8,3000,0.9783,11.336662530899048,88.20938237108268,1000
True,0.8,3500,0.9795,13.301807165145874,75.17775499108534,1000
True,0.8,4000,0.9813,15.071457862854004,66.35058194766005,1000
True,0.9,100,0.881,0.2477257251739502,4036.7224651287684,1000
True,0.9,120,0.8918,0.2850198745727539,3508.5272614725714,1000
True,0.9,140,0.8956,0.32527995109558105,3074.274933428521,1000
True,0.9,160,0.8995,0.36486101150512695,2740.769686173904,1000
True,0.9,180,0.9051,0.403731107711792,2476.8960847918147,1000
True,0.9,200,0.9084,0.44635725021362305,2240.357918509015,1000
True,0.9,220,0.9117,0.48757386207580566,2050.9713046195343,1000
True,0.9,240,0.9141,0.5311472415924072,1882.7171106112642,1000
True,0.9,260,0.9177,0.5756523609161377,1737.159556522139,1000
True,0.9,280,0.9208,0.6165120601654053,1622.0282855970538,1000
True,0.9,300,0.9229,0.6588730812072754,1517.7429895415764,1000
True,0.9,320,0.9266,0.7012431621551514,1426.038860652374,1000
True,0.9,340,0.9272,0.741560697555542,1348.507281057868,1000
True,0.9,360,0.9282,0.7815608978271484,1279.490827624749,1000
True,0.9,380,0.9303,0.8239996433258057,1213.5927583218681,1000
True,0.9,400,0.9311,0.8689901828765869,1150.7609863781613,1000
True,0.9,500,0.939,1.0893511772155762,917.977619077843,1000
True,0.9,600,0.9435,1.3296892642974854,752.0554063646817,1000
