enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,10,100,0.9395,1.2210144996643066,818.9910932875325,1000
True,0.8,10,120,0.9394,1.2610712051391602,792.9766344079272,1000
True,0.8,10,140,0.9405,1.3078866004943848,764.592281641235,1000
True,0.8,10,160,0.9394,1.3482341766357422,741.710911449602,1000
True,0.8,10,180,0.9406,1.3967273235321045,715.9593595342266,1000
True,0.8,10,200,0.9406,1.4212267398834229,703.6174960246144,1000
True,0.8,10,220,0.9412,1.457550048828125,686.0827872113231,1000
True,0.8,10,240,0.9421,1.4986283779144287,667.2768344288618,1000
True,0.8,10,260,0.9419,1.5260822772979736,655.2726644401926,1000
True,0.8,10,280,0.9421,1.5590269565582275,641.4257276266995,1000
True,0.8,10,300,0.9425,1.5878682136535645,629.7751862536978,1000
True,0.8,10,320,0.9425,1.6217806339263916,616.6062037496172,1000
True,0.8,10,340,0.9425,1.6531167030334473,604.9179698959023,1000
True,0.8,10,360,0.9426,1.6898808479309082,591.7576977243106,1000
True,0.8,10,380,0.9426,1.7047088146209717,586.6104471468589,1000
True,0.8,10,400,0.9432,1.7475876808166504,572.2173548011614,1000
True,0.8,10,500,0.9443,1.8958685398101807,527.4627322525868,1000
True,0.8,10,600,0.9446,2.050222396850586,487.7519636582514,1000
True,0.8,10,700,0.9461,2.198373794555664,454.8816959502195,1000
True,0.8,10,800,0.946,2.3459084033966064,426.27410283884683,1000
True,0.8,10,900,0.9469,2.4757461547851562,403.9186319918891,1000
True,0.8,10,1000,0.9472,2.6063578128814697,383.6771739696193,1000
True,0.8,10,1200,0.9479,2.8827507495880127,346.8908993061279,1000
True,0.8,10,1400,0.9497,3.14937424659729,317.5233940775505,1000
True,0.8,10,1600,0.9502,3.4178898334503174,292.5781838294397,1000
True,0.8,10,1800,0.9508,3.680318593978882,271.71560680535424,1000
True,0.8,10,2000,0.9508,3.9668610095977783,252.08848950858388,1000
True,0.8,10,2500,0.9522,4.626365423202515,216.1524022691162,1000
True,0.8,10,3000,0.9523,5.24618124961853,190.61484009396622,1000
True,0.8,10,3500,0.9526,5.86579155921936,170.47997527772424,1000
True,0.8,10,4000,0.9527,6.44546365737915,155.1478765775276,1000
True,0.8,10,4500,0.9529,7.068013668060303,141.4824655077999,1000
True,0.8,10,5000,0.9531,7.602464914321899,131.53628609533607,1000
True,0.8,10,5500,0.9534,8.14274549484253,122.8087013935757,1000
True,0.8,10,6000,0.9536,8.753356695175171,114.24188854901773,1000
True,0.8,20,100,0.9395,1.2253894805908203,816.0670675235853,1000
True,0.8,20,120,0.9394,1.2848005294799805,778.3309370247125,1000
True,0.8,20,140,0.9405,1.3114683628082275,762.5040972080448,1000
True,0.8,20,160,0.9394,1.3494396209716797,741.0483466314249,1000
True,0.8,20,180,0.9406,1.4059805870056152,711.2473737135648,1000
True,0.8,20,200,0.9406,1.4200389385223389,704.2060417305021,1000
True,0.8,20,220,0.9412,1.456357479095459,686.6446008991544,1000
