enable_batch_dco,ef,recall,latency(ms),QPS,nq
True,120,0.8283,0.5807061195373535,1722.0414360308384,1000
True,140,0.8531,0.651402473449707,1535.1492215007795,1000
True,160,0.8723,0.726815938949585,1375.8641581873237,1000
True,180,0.8874,0.8015613555908203,1247.5651340038883,1000
True,200,0.9016,0.8801579475402832,1136.1597117819945,1000
True,220,0.9122,1.0130720138549805,987.0966587999619,1000
True,240,0.9224,1.0700654983520508,934.5222339567487,1000
True,260,0.9287,1.1107919216156006,900.2586177846357,1000
True,280,0.9338,1.1931042671203613,838.1497137828267,1000
True,300,0.9395,1.2574450969696045,795.2633497955198,1000
True,320,0.9452,1.3135712146759033,761.2834301083017,1000
True,340,0.9497,1.3691139221191406,730.3994093144426,1000
True,360,0.9523,1.437009572982788,695.8895882122127,1000
True,380,0.9558,1.5016801357269287,665.9207751429188,1000
True,400,0.96,1.5832581520080566,631.6089380191686,1000
True,450,0.9667,1.753455638885498,570.3024232968922,1000
True,500,0.9703,1.9295027256011963,518.2682494985432,1000
True,550,0.974,2.1019980907440186,475.73782507387637,1000
True,600,0.9771,2.2819466590881348,438.22233794001113,1000
True,650,0.9788,2.4581828117370605,406.8045693043293,1000
True,700,0.9815,2.6307222843170166,380.12374242673746,1000
True,750,0.9831,2.7898995876312256,358.43583920848334,1000
True,800,0.9844,2.972311496734619,336.4384927685405,1000
True,900,0.9865,3.2944746017456055,303.5385367579223,1000
True,1000,0.988,3.6375808715820312,274.9079773902283,1000
True,2000,0.9952,6.857656478881836,145.8224107724704,1000
True,3000,0.997,9.982429504394531,100.1760142217657,1000
True,4000,0.9973,13.17330288887024,75.91110660978367,1000
