enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,100,0.88407,0.3483497142791748,2870.678398773076,10000
False,120,0.89236,0.40446622371673585,2472.3943344657146,10000
False,140,0.89858,0.4615499496459961,2166.612737726414,10000
False,160,0.90371,0.5157484531402587,1938.9297125590178,10000
False,180,0.908,0.5735482454299927,1743.5324891462162,10000
False,200,0.91144,0.6302814960479737,1586.592667356183,10000
False,220,0.91451,0.688698697090149,1452.0137822608694,10000
False,240,0.91652,0.7477331161499023,1337.3755667650867,10000
False,260,0.91994,0.8140727043151855,1228.3915118382704,10000
False,280,0.92233,0.8560171604156495,1168.2008798917511,10000
False,300,0.92437,0.9113821506500244,1097.2345676144423,10000
False,320,0.9269,0.9677017450332641,1033.376249585688,10000
False,340,0.92848,1.0266343593597411,974.056625791921,10000
False,360,0.93042,1.087023639678955,919.9431948833634,10000
False,380,0.93222,1.163988995552063,859.1146512735841,10000
False,400,0.93362,1.2041157960891724,830.4849112086091,10000
False,500,0.93992,1.5036253690719605,665.0592764454362,10000
False,600,0.9452,1.8032323837280273,554.5596945927658,10000
False,700,0.94978,2.100831460952759,476.002010911663,10000
False,800,0.953,2.3683889389038084,422.227947265639,10000
False,900,0.95601,2.669212508201599,374.6423324959454,10000
False,1000,0.95861,2.93543381690979,340.66514947106754,10000
False,1200,0.96301,3.533892798423767,282.9740620445626,10000
False,1400,0.96668,4.065175008773804,245.99186943777713,10000
False,1600,0.96923,4.664199471473694,214.39906378704714,10000
False,1800,0.97128,5.227499651908874,191.29604334547201,10000
False,2000,0.97274,5.803688812255859,172.30420726353623,10000
False,300,0.92437,0.9100353717803955,1098.8583861785476,10000
False,4000,0.98121,11.3834153175354,87.84709791441642,10000
