enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.8,100,0.88478,0.37681543827056885,2653.819080740421,10000
True,0.8,120,0.89221,0.4372056007385254,2287.253407346121,10000
True,0.8,140,0.89876,0.4980229616165161,2007.939547112714,10000
True,0.8,160,0.90343,0.5569528341293335,1795.4841751784384,10000
True,0.8,180,0.90804,0.6183681488037109,1617.1596191275219,10000
True,0.8,200,0.91156,0.6808528661727905,1468.746111948091,10000
True,0.8,220,0.91404,0.7406634092330933,1350.140951387665,10000
True,0.8,240,0.91685,0.8074512243270874,1238.4649002586857,10000
True,0.8,260,0.9196,0.8769984722137452,1140.2528415765319,10000
True,0.8,280,0.92295,0.930211091041565,1075.0248084876002,10000
True,0.8,300,0.92441,0.9953880310058594,1004.6333378044341,10000
True,0.8,320,0.92667,1.0567445755004883,946.3024681497766,10000
True,0.8,340,0.92894,1.11936457157135,893.3639900682334,10000
True,0.8,360,0.93058,1.189013934135437,841.0330369484913,10000
True,0.8,380,0.93219,1.2534394979476928,797.804761727503,10000
True,0.8,400,0.93382,1.315599250793457,760.1098886282319,10000
True,0.8,500,0.93993,1.6372515439987183,610.7796958051199,10000
True,0.8,600,0.94536,1.9811785459518432,504.75006507783326,10000
True,0.8,700,0.95002,2.320040202140808,431.0270137031479,10000
True,0.8,800,0.95286,2.6457353830337524,377.9667484559028,10000
True,0.8,900,0.95612,3.005444574356079,332.7294765415035,10000
True,0.8,1000,0.9588,3.3323280572891236,300.0905021378682,10000
True,0.8,1200,0.96324,4.0437917470932,247.292655641535,10000
True,0.8,1400,0.96648,4.713471293449402,212.15786365130958,10000
True,0.8,1600,0.96915,5.392654776573181,185.4374220920295,10000
True,0.8,1800,0.97112,6.064046502113342,164.9063871214537,10000
True,0.8,2000,0.97315,6.7556249618530275,148.02479498887192,10000
True,0.8,300,0.92441,0.9920283317565918,1008.0357263882703,10000
True,0.8,4000,0.98107,13.322126388549805,75.06309209462891,10000
True,0.9,100,0.88399,0.32360639572143557,3090.173782785222,10000
True,0.9,120,0.89263,0.3754580497741699,2663.413397585906,10000
True,0.9,140,0.89929,0.43296515941619873,2309.654664473186,10000
True,0.9,160,0.90369,0.47823879718780515,2091.0055936078693,10000
True,0.9,180,0.90768,0.5262952327728272,1900.0742125886693,10000
True,0.9,200,0.91156,0.5787763357162475,1727.7831491891934,10000
True,0.9,220,0.91406,0.6274480581283569,1593.7574226987729,10000
True,0.9,240,0.91694,0.6779633045196534,1475.0060856295374,10000
True,0.9,260,0.92051,0.7285455465316772,1372.5977802768984,10000
True,0.9,280,0.92218,0.7788246631622314,1283.9860462812503,10000
True,0.9,300,0.92461,0.8309035301208496,1203.5091484742595,10000
True,0.9,320,0.9272,0.9008751630783081,1110.0317124772098,10000
True,0.9,340,0.92871,0.9478577136993408,1055.0106683176698,10000
True,0.9,360,0.93031,0.9994953632354736,1000.5048915513653,10000
True,0.9,380,0.93201,1.0487935066223144,953.4765363112743,10000
True,0.9,400,0.93358,1.0928629636764526,915.0278060809597,10000
True,0.9,500,0.94021,1.3629746198654176,733.6893772084632,10000
True,0.9,600,0.94483,1.6577512741088867,603.2268022460387,10000
True,0.9,700,0.94947,1.9254733562469482,519.3528109623693,10000
True,0.9,800,0.95321,2.196796679496765,455.20826270962715,10000
True,0.9,900,0.95643,2.468516492843628,405.10160774661944,10000
True,0.9,1000,0.95898,2.7318249225616453,366.05566913940265,10000
True,0.9,1200,0.96304,3.3246946334838867,300.7795031545854,10000
True,0.9,1400,0.96635,3.8811893701553344,257.6529781539563,10000
True,0.9,1600,0.96927,4.410861253738403,226.7130935375614,10000
True,0.9,1800,0.97128,4.979715085029602,200.81470183028662,10000
True,0.9,2000,0.97257,5.508214616775513,181.54702922330867,10000
True,0.9,300,0.92461,0.8296216487884521,1205.3687382198402,10000
True,0.9,4000,0.98154,10.92124433517456,91.56465777248967,10000
True,1.0,100,0.87829,0.2862407684326172,3493.562449107965,10000
True,1.0,120,0.88663,0.3295314788818359,3034.6114531855756,10000
True,1.0,140,0.89471,0.37432312965393066,2671.488670562571,10000
True,1.0,160,0.89977,0.4176236391067505,2394.5004697025447,10000
True,1.0,180,0.90499,0.4603443622589111,2172.2868399929935,10000
True,1.0,200,0.90932,0.5046141386032105,1981.712210379271,10000
True,1.0,220,0.91262,0.5503281593322754,1817.0976408209256,10000
True,1.0,240,0.91523,0.6000687122344971,1666.4758212043162,10000
