enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,40,180,0.9044,0.8046853542327881,1242.721760424521,1000
True,0.8,80,120,0.9047,0.8215169906616211,1217.2602774711147,1000
True,0.8,40,200,0.9102,0.857926607131958,1165.6008703856292,1000
True,0.81,80,160,0.914,0.8679449558258057,1152.1467960471648,1000
True,0.8,80,140,0.9153,0.8953385353088379,1116.89596790901,1000
True,0.8,40,220,0.9156,0.9053826332092284,1104.5053917760602,1000
True,0.81,80,180,0.9221,0.9256148338317872,1080.362979772352,1000
True,0.8,80,160,0.9242,0.9516868591308594,1050.7657959186945,1000
True,0.81,80,200,0.9284,0.9835975170135498,1016.676010972712,1000
True,0.8,80,180,0.9306,1.0072345733642578,992.8173897564956,1000
True,0.81,80,220,0.9337,1.0340197086334229,967.0995549220391,1000
True,0.8,80,200,0.9372,1.0616466999053955,941.9329425590556,1000
True,0.81,80,240,0.94,1.088029146194458,919.0930256764234,1000
True,0.81,100,220,0.9401,1.1098408699035645,901.0300729751386,1000
True,0.8,80,220,0.9432,1.1184132099151611,894.1239169339358,1000
True,0.81,80,260,0.9447,1.1408076286315918,876.5719783970136,1000
True,0.81,100,240,0.9457,1.154557704925537,866.1325421274589,1000
True,0.8,80,240,0.9478,1.159076690673828,862.7556813506886,1000
True,0.81,80,280,0.9488,1.1930291652679443,838.202475775526,1000
True,0.81,100,260,0.9498,1.2058966159820557,829.2584843068176,1000
True,0.8,80,260,0.9517,1.207056999206543,828.4612911050169,1000
True,0.81,80,300,0.9525,1.2418136596679688,805.2737962854878,1000
True,0.8,80,280,0.9559,1.2529966831207275,798.0867096227173,1000
True,0.8,80,300,0.9584,1.306171178817749,765.59643652919,1000
True,0.81,80,340,0.9585,1.3309292793273926,751.3547229987807,1000
True,0.81,100,320,0.9607,1.360972881317139,734.7684981292265,1000
True,0.8,80,320,0.9621,1.3637638092041016,733.2648023440396,1000
True,0.81,100,340,0.9634,1.408585548400879,709.9320315583724,1000
True,0.8,80,340,0.9639,1.4102494716644287,709.0943979009352,1000
True,0.81,100,360,0.9663,1.460954666137695,684.4839358661864,1000
True,0.81,100,380,0.9678,1.5092146396636963,662.5962760491335,1000
True,0.8,100,340,0.9684,1.5397050380706787,649.4750457224236,1000
True,0.8,80,400,0.9692,1.5627403259277344,639.901577638205,1000
True,0.81,100,400,0.9699,1.5690734386444092,637.318799344372,1000
True,0.8,100,360,0.9702,1.578197717666626,633.6341694109819,1000
True,0.8,100,380,0.9712,1.6190524101257324,617.6452310906612,1000
True,0.8,100,400,0.9726,1.6722214221954346,598.0069306175463,1000
True,0.8,100,450,0.9748,1.7930257320404053,557.7164800987169,1000
True,0.8,100,500,0.9771,1.912153005599976,522.9707021725651,1000
True,0.8,200,340,0.9776,1.946667194366455,513.6984908842885,1000
True,0.8,200,360,0.9787,2.0053040981292725,498.6774828480577,1000
True,0.8,100,550,0.9796,2.0263454914093018,493.4992597459334,1000
True,0.8,200,400,0.9801,2.088426351547241,478.8294302354189,1000
True,0.8,100,600,0.9814,2.141630172729492,466.934026581026,1000
True,0.8,200,450,0.9826,2.2171852588653564,451.0223022643356,1000
True,0.8,200,500,0.9846,2.335383415222168,428.1952134634256,1000
True,0.8,200,550,0.9862,2.456374168395996,407.10410199965446,1000
True,0.8,200,600,0.9875,2.563394069671631,390.1077917871985,1000
True,0.8,200,650,0.9887,2.680344343185425,373.0863918818585,1000
True,0.81,300,600,0.989,2.788150787353516,358.6606594362817,1000
True,0.8,200,700,0.9893,2.799863576889038,357.16025889772527,1000
True,0.8,300,550,0.9894,2.917585611343384,342.7491539963951,1000
True,0.81,200,800,0.9898,2.9200708866119385,342.4574398466973,1000
True,0.8,200,750,0.9901,2.9249184131622314,341.8898781928297,1000
True,0.8,200,800,0.9905,3.019613981246948,331.1681579865551,1000
True,0.8,300,600,0.9907,3.03103256225586,329.9205730920111,1000
True,0.81,300,750,0.991,3.143807888031006,318.0855941634235,1000
True,0.8,300,650,0.9914,3.1779873371124268,314.6645640534921,1000
True,0.81,300,800,0.9915,3.253401279449463,307.37062972115723,1000
True,0.8,300,750,0.9917,3.347376108169556,298.7414523152672,1000
True,0.8,300,800,0.9919,3.464294195175171,288.6590871504882,1000
True,0.8,400,650,0.9923,3.6094892024993896,277.047511129151,1000
True,0.8,300,900,0.9929,3.6755154132843018,272.0706860283407,1000
True,0.8,400,750,0.993,3.847810506820679,259.8880579559173,1000
True,0.8,300,1000,0.9934,3.881016492843628,257.664455135386,1000
True,0.81,300,1200,0.9936,4.111390590667725,243.22670832342192,1000
True,0.8,400,900,0.9938,4.180351734161377,239.21432061041884,1000
True,0.8,300,1200,0.9945,4.302373647689819,232.4298356877848,1000
True,0.8,500,900,0.9948,4.560702562332153,219.26446338755352,1000
True,0.8,300,1400,0.9949,4.725557327270508,211.6152510158209,1000
True,0.8,500,1000,0.9955,4.765105485916138,209.8589428829277,1000
True,0.8,500,1200,0.9958,5.209977388381958,191.9394126795944,1000
True,0.81,700,1200,0.996,5.600770473480225,178.54686328158292,1000
True,0.8,600,1200,0.9961,5.6822357177734375,175.98706735662248,1000
True,0.81,700,1400,0.9962,6.035491228103638,165.68659653477815,1000
True,0.81,600,1600,0.9963,6.177836656570435,161.8689608661716,1000
True,0.81,700,1600,0.9966,6.437290906906128,155.34485150067843,1000
True,0.81,800,1600,0.9967,6.700122594833374,149.2510003878323,1000
True,0.81,800,2000,0.9969,7.460469007492065,134.0398303371765,1000
True,0.8,800,2000,0.9971,8.055326223373413,124.14146519583406,1000
