enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.81,40,200,0.9024,0.587454080581665,1702.2607094836324,1000
True,0.8,40,180,0.9037,0.592665433883667,1687.2925985359352,1000
True,0.81,80,120,0.9067,0.608649492263794,1642.9817369610018,1000
True,0.8,40,200,0.907,0.6283576488494873,1591.4503497028863,1000
True,0.81,40,240,0.9089,0.6509811878204346,1536.1427007562593,1000
True,0.81,80,140,0.9125,0.6512556076049805,1535.4954158130654,1000
True,0.8,80,120,0.9137,0.6809570789337158,1468.521337006821,1000
True,0.81,200,120,0.9154,0.6916844844818115,1445.7458891089177,1000
True,0.8,100,120,0.9186,0.7072885036468506,1413.850210831789,1000
True,0.81,80,180,0.92,0.7482092380523682,1336.5245296931346,1000
True,0.8,200,120,0.9215,0.7500879764556885,1333.176949089618,1000
True,0.8,100,140,0.925,0.7601673603057861,1315.4997862546195,1000
True,0.8,80,180,0.9264,0.7922646999359131,1262.2044123395765,1000
True,0.8,100,160,0.9285,0.8098921775817871,1234.7322615040505,1000
True,0.8,80,200,0.9297,0.8276283740997314,1208.2717694252194,1000
True,0.8,100,180,0.9329,0.8507146835327148,1175.482237884218,1000
True,0.81,100,220,0.9332,0.8971190452575684,1114.6792672458469,1000
True,0.8,100,200,0.9362,0.8974339962005615,1114.2880749265896,1000
True,0.8,80,260,0.9376,0.9336168766021729,1071.1031741836366,1000
True,0.8,100,220,0.9387,0.9352235794067384,1069.2630318777385,1000
True,0.81,80,320,0.9393,0.9675662517547609,1033.5209585766536,1000
True,0.8,80,280,0.9397,0.9683663845062256,1032.666990510936,1000
True,0.8,100,240,0.9412,0.9759175777435304,1024.676696890891,1000
True,0.8,80,300,0.9417,1.0073447227478027,992.7088288825616,1000
True,0.8,100,260,0.9434,1.021543025970459,978.9112886850818,1000
True,0.8,80,320,0.9435,1.0349524021148682,966.2280100578104,1000
True,0.81,80,380,0.944,1.061786413192749,941.8089999786682,1000
True,0.8,100,280,0.9455,1.0625052452087402,941.171824336302,1000
True,0.81,80,400,0.9456,1.0929760932922363,914.9330951858462,1000
True,0.8,100,300,0.9469,1.0977115631103516,910.9861220433106,1000
True,0.8,100,320,0.9486,1.120777606964111,892.237669441607,1000
True,0.8,100,340,0.9507,1.1579625606536863,863.5857790043623,1000
True,0.8,100,360,0.9523,1.2292201519012451,813.5239228329373,1000
True,0.8,100,380,0.9533,1.2375733852386477,808.032890758365,1000
True,0.8,100,400,0.9544,1.2757604122161863,783.8462382312448,1000
True,0.8,200,220,0.9556,1.3059961795806885,765.6990239596769,1000
True,0.8,500,220,0.9563,1.3271195888519287,753.5115963928203,1000
True,0.8,100,450,0.9567,1.3626325130462646,733.8735795790069,1000
True,0.8,200,240,0.9574,1.372734308242798,728.4730876145104,1000
True,0.8,100,500,0.9584,1.419660568237305,704.3937278906263,1000
True,0.8,200,260,0.9594,1.4283266067504885,700.1199832544239,1000
True,0.8,200,280,0.961,1.4770989418029783,677.0027191133037,1000
True,0.8,200,300,0.9621,1.514065504074097,660.4734057470879,1000
True,0.8,100,600,0.9631,1.55857253074646,641.6127451707761,1000
