enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.89,80,80,0.9007,0.4004015922546386,2497.4925658238685,1000
True,0.86,40,60,0.9028,0.4060778617858886,2462.5819186549666,1000
True,0.86,40,70,0.906,0.4280092716217041,2336.397985518056,1000
True,0.86,40,80,0.9075,0.4483153820037842,2230.572583814577,1000
True,0.89,80,100,0.9082,0.4574832916259765,2185.87218004361,1000
True,0.86,40,90,0.9124,0.4710786342620849,2122.7878474396043,1000
True,0.85,40,50,0.914,0.4798810482025146,2083.8497451518238,1000
True,0.85,40,60,0.9188,0.5077087879180908,1969.6330333390467,1000
True,0.85,40,70,0.9204,0.5336000919342041,1874.0626456325756,1000
True,0.85,40,80,0.9215,0.5564427375793457,1797.1301132444116,1000
True,0.85,40,90,0.9226,0.5833244323730469,1714.3118726089658,1000
True,0.88,80,120,0.9227,0.5925216674804688,1687.7019945147624,1000
True,0.87,80,80,0.924,0.6092774868011475,1641.2882827006115,1000
True,0.88,80,140,0.9273,0.6341509819030762,1576.9115376893642,1000
True,0.84,40,50,0.9296,0.6379954814910889,1567.4092199882882,1000
True,0.87,80,90,0.9305,0.6531283855438232,1531.0925418857064,1000
True,0.87,80,100,0.9321,0.6854972839355469,1458.7949849470504,1000
True,0.84,40,60,0.9333,0.6939592361450195,1441.0068314027394,1000
True,0.84,40,70,0.9339,0.7052605152130127,1417.9157608135283,1000
True,0.84,40,80,0.9347,0.7330782413482666,1364.1108732961638,1000
True,0.87,80,120,0.9361,0.739464282989502,1352.3303599697956,1000
True,0.84,40,90,0.9375,0.7490823268890381,1334.966750788302,1000
True,0.87,100,100,0.9377,0.7649047374725342,1307.352342076333,1000
True,0.84,40,100,0.9389,0.775515079498291,1289.4655776995803,1000
True,0.86,80,90,0.942,0.8059015274047852,1240.8463887892892,1000
True,0.86,80,100,0.9431,0.8420126438140869,1187.630622113076,1000
True,0.83,40,50,0.9454,0.8586344718933105,1164.6399402006011,1000
True,0.83,40,60,0.9491,0.8936185836791992,1119.0456625049226,1000
True,0.83,40,70,0.95,0.9235551357269288,1082.7723882590958,1000
True,0.83,40,80,0.9504,0.9520442485809326,1050.3713472252448,1000
True,0.83,40,100,0.9525,0.9994444847106934,1000.5558240580692,1000
True,0.83,40,120,0.9531,1.0452187061309814,956.7375651949776,1000
True,0.83,40,140,0.9545,1.089076280593872,918.2093282342914,1000
True,0.86,100,120,0.9547,1.115251541137695,896.6587026455715,1000
True,0.83,40,160,0.9551,1.127918720245361,886.5887071920089,1000
True,0.85,80,100,0.9555,1.134555101394653,881.4027619908004,1000
True,0.83,40,180,0.9556,1.1693363189697266,855.1859578611869,1000
True,0.86,100,140,0.957,1.1757397651672363,850.5283478761652,1000
True,0.85,80,120,0.9573,1.1895442008972168,840.6581270756878,1000
True,0.82,40,50,0.958,1.2430644035339355,804.4635476304186,1000
True,0.85,80,140,0.9588,1.24357271194458,804.1347244073052,1000
True,0.82,40,60,0.9595,1.281242847442627,780.4921619629016,1000
True,0.85,80,160,0.9603,1.2972376346588137,770.8687855506212,1000
True,0.85,80,180,0.9616,1.343846559524536,744.1325744464518,1000
True,0.85,80,200,0.9631,1.3881032466888428,720.4075074281272,1000
True,0.84,80,80,0.9637,1.4751849174499512,677.8811172558827,1000
True,0.84,80,90,0.9654,1.511203050613403,661.7244450334427,1000
True,0.84,80,120,0.9657,1.6256043910980225,615.1558186457315,1000
True,0.84,80,140,0.9659,1.6870768070220947,592.7412408479062,1000
True,0.85,100,180,0.9663,1.704836130142212,586.5666396432971,1000
True,0.84,80,160,0.9666,1.7368738651275637,575.7470476571168,1000
True,0.84,80,180,0.9673,1.7696070671081543,565.0972007216121,1000
True,0.84,80,200,0.9678,1.816537618637085,550.4978205462553,1000
True,0.84,80,220,0.9683,1.863676071166992,536.5739333519598,1000
True,0.81,40,70,0.9686,1.8888084888458248,529.4342999332133,1000
True,0.81,40,80,0.969,1.9159152507781985,521.9437548679798,1000
True,0.84,100,100,0.9705,1.941019058227539,515.1932928021635,1000
True,0.84,100,120,0.9712,2.0582263469696045,485.8552128983935,1000
True,0.83,80,90,0.9713,2.170234680175781,460.7796608977807,1000
True,0.84,100,140,0.9727,2.196869134902954,455.1932493895112,1000
True,0.84,100,180,0.9731,2.287658452987671,437.1281904840317,1000
True,0.84,100,200,0.9739,2.320760726928711,430.8931930795802,1000
True,0.84,100,240,0.9743,2.4522502422332764,407.7887251381389,1000
True,0.84,100,280,0.9751,2.5592613220214844,390.7377458469656,1000
True,0.83,100,100,0.977,2.860669612884521,349.56850504370624,1000
True,0.83,100,140,0.9776,3.0180370807647705,331.34119072738497,1000
True,0.83,100,160,0.9784,3.0760180950164795,325.0956168366242,1000
True,0.83,100,200,0.9791,3.196423292160034,312.8496787183133,1000
True,0.83,100,240,0.9798,3.3508410453796387,298.43253871408376,1000
True,0.83,100,400,0.9801,3.683338642120361,271.492821367176,1000
True,0.83,100,500,0.981,3.9076688289642334,255.9070493865418,1000
True,0.83,100,600,0.9812,4.116262197494507,242.93884889273613,1000
True,0.82,100,300,0.9818,4.637453317642212,215.63559382812787,1000
True,0.85,200,900,0.982,5.3521950244903564,186.8392305258386,1000
True,0.87,400,700,0.9822,5.7021894454956055,175.37123407745446,1000
True,0.82,100,1000,0.9824,5.887771129608154,169.84355845138845,1000
True,0.84,200,600,0.9828,6.0044121742248535,166.5441963316078,1000
True,0.87,300,1800,0.9831,6.2505176067352295,159.98675036487418,1000
True,0.85,300,400,0.9834,6.43556809425354,155.38643758472884,1000
True,0.87,400,1200,0.9836,6.817460060119629,146.68219412824143,1000
True,0.89,700,1200,0.9838,6.910373687744141,144.7099744798961,1000
True,0.84,200,1200,0.9842,7.31252908706665,136.75159279279396,1000
True,0.84,200,1600,0.9847,7.867870092391968,127.09920070578885,1000
True,0.8,100,360,0.9851,8.294299840927124,120.56472748496894,1000
True,0.85,400,1200,0.9854,10.492477416992188,95.30637620249117,1000
True,0.86,600,700,0.9857,10.626729488372805,94.10232951672914,1000
True,0.86,600,1800,0.986,13.006098747253418,76.88700658305984,1000
True,0.86,800,1800,0.9863,16.27335286140442,61.45015157704251,1000
