enable_batch_dco,gamma,refine_queue_size,ef,recall,latency(ms),QPS,nq
True,0.8,80,120,0.9048,0.7942206859588623,1259.0958881821373,1000
True,0.8,40,200,0.9104,0.8507246971130371,1175.4684016974395,1000
True,0.8,80,140,0.9155,0.8589756488800049,1164.1773562543628,1000
True,0.8,40,220,0.9158,0.9027109146118164,1107.7743536866617,1000
True,0.8,80,160,0.9243,0.9134507179260254,1094.749810116175,1000
True,0.8,80,180,0.9308,0.9676451683044434,1033.436669510013,1000
True,0.8,80,200,0.9373,1.0227108001708984,977.7935266087898,1000
True,0.8,80,220,0.9433,1.0787785053253174,926.9743465072464,1000
True,0.8,100,200,0.9444,1.127622365951538,886.8217146049204,1000
True,0.8,80,240,0.9479,1.130143404006958,884.8434600905243,1000
True,0.8,100,220,0.9488,1.1818602085113523,846.1237571062486,1000
True,0.8,80,260,0.9518,1.1927461624145508,838.4013560568808,1000
True,0.8,100,240,0.9535,1.2355475425720217,809.357766936523,1000
True,0.8,80,280,0.956,1.271331548690796,786.5768776286483,1000
True,0.8,100,260,0.9567,1.29175066947937,774.1432024208217,1000
True,0.8,80,300,0.9585,1.301213264465332,768.5135306477986,1000
True,0.8,100,280,0.9612,1.340338945388794,746.079940033324,1000
True,0.8,80,320,0.9622,1.352421760559082,739.4143078462496,1000
True,0.8,100,300,0.9641,1.3945553302764893,717.074452543763,1000
True,0.8,80,360,0.9662,1.4450600147247314,692.0127813449252,1000
True,0.8,80,380,0.9678,1.4881994724273682,671.9529327402078,1000
True,0.8,100,340,0.9686,1.5004818439483645,666.452582570811,1000
True,0.8,80,400,0.9693,1.5392670631408691,649.6598439256561,1000
True,0.8,100,360,0.9704,1.550755262374878,644.8470782350059,1000
True,0.8,100,380,0.9714,1.592233180999756,628.0487129228802,1000
True,0.8,100,400,0.9728,1.63897705078125,610.1366700182475,1000
True,0.8,100,450,0.975,1.758105993270874,568.7939201774443,1000
True,0.8,100,500,0.9773,1.8698246479034424,534.8095080045388,1000
True,0.8,200,340,0.9778,1.9282097816467283,518.6157696731424,1000
True,0.8,200,360,0.9789,1.981488943099976,504.6709967684868,1000
True,0.8,100,550,0.9798,2.001314401626587,499.67161540797423,1000
True,0.8,200,400,0.9803,2.083758592605591,479.9020402596501,1000
True,0.8,100,600,0.9816,2.114422082901001,472.9424688130354,1000
True,0.8,200,450,0.9828,2.2154109477996826,451.3835236722952,1000
True,0.8,200,500,0.9848,2.3239402770996094,430.303657049246,1000
True,0.8,200,550,0.9864,2.444486618041992,409.0838512345752,1000
True,0.8,200,600,0.9877,2.558098554611206,390.9153532014663,1000
True,0.8,200,650,0.9889,2.727948904037476,366.5757809906041,1000
True,0.8,200,700,0.9894,2.8278958797454834,353.6198086932402,1000
True,0.8,200,750,0.9903,2.920704126358032,342.3831914282083,1000
True,0.8,200,800,0.9907,3.0045597553253174,332.8274627347944,1000
True,0.8,300,600,0.9909,3.0599186420440674,326.80607459941695,1000
True,0.8,300,650,0.9916,3.176856279373169,314.7765942365236,1000
True,0.8,400,600,0.9917,3.39783263206482,294.30525522745154,1000
True,0.8,300,750,0.9918,3.408346652984619,293.39738642028107,1000
True,0.8,200,1000,0.9921,3.443380117416382,290.412317519657,1000
True,0.8,300,800,0.9922,3.52864146232605,283.39518499587336,1000
True,0.8,400,650,0.9924,3.6026971340179443,277.56982138677307,1000
True,0.8,500,550,0.9925,3.652846813201904,273.75908466401023,1000
True,0.8,300,900,0.9932,3.741934537887573,267.2414468705612,1000
True,0.8,300,1000,0.9936,3.951906442642212,253.0424276267553,1000
True,0.8,400,900,0.994,4.170131683349609,239.8005808768038,1000
True,0.8,300,1200,0.9946,4.380115747451782,228.3044690272785,1000
True,0.8,500,900,0.9949,4.506309509277344,221.9110777768936,1000
True,0.8,600,800,0.995,4.695641040802002,212.96346788663448,1000
True,0.8,500,1000,0.9956,4.728520154953003,211.48265572105595,1000
True,0.8,500,1200,0.996,5.1343536376953125,194.76648290414136,1000
True,0.8,600,1200,0.9963,5.63207483291626,177.55445899894144,1000
True,0.8,500,1600,0.9964,5.958235502243042,167.83492354801,1000
True,0.8,700,1400,0.9965,6.355862379074097,157.33506176791656,1000
True,0.8,800,1400,0.9969,6.837024927139282,146.26244757870373,1000
True,0.8,800,2000,0.9972,7.953341007232666,125.73332378061156,1000
True,0.8,700,3000,0.9974,9.245194673538208,108.16429889380493,1000
True,0.8,1600,1600,0.9975,9.795347690582275,102.08928070633458,1000
True,0.8,500,4000,0.9976,9.859163522720335,101.42848302449906,1000
True,0.8,600,4000,0.9978,10.37321949005127,96.40208625288209,1000
True,0.8,1600,3000,0.9979,12.767552614212036,78.3235464318246,1000
True,0.8,1600,4000,0.9983,14.418537616729736,69.35516115307745,1000
